ScientificName_accepted	Family	Genus	Anitas_Garden	CAPE_KRI	KRI_LAGOON	KABUI_STRAIT	MELISSAS_GARDEN	SECRET_LAGOON	SARDINE_REEF	WEST_MANSUAR
Scolopsis bilineata	Nemipteridae	Scolopsis	1	1	1	1	1	1	1	1
Chaetodon vagabundus	Chaetodontidae	Chaetodon	1	1	1	1	1	1	1	1
Epibulus insidiator	Labridae	Epibulus	1	1	1	1	1	1	1	1
Scarus ghobban	Scaridae	Scarus	1	1	1	1	1	1	1	1
Cheilinus fasciatus	Labridae	Cheilinus	0	1	1	1	1	1	1	1
Scolopsis margaritifera	Nemipteridae	Scolopsis	0	0	1	1	1	1	1	1
Lutjanus monostigma	Lutjanidae	Lutjanus	1	1	0	1	1	1	1	1
Parupeneus barberinus	Mullidae	Parupeneus	1	1	1	0	1	1	1	1
Parupeneus trifasciatus	Mullidae	Parupeneus	1	1	1	0	1	1	1	1
Chaetodon baronessa	Chaetodontidae	Chaetodon	1	1	1	0	1	1	1	1
Chaetodon lunulatus	Chaetodontidae	Chaetodon	1	1	1	0	1	1	1	1
Chaetodon rafflesii	Chaetodontidae	Chaetodon	1	1	1	0	1	1	1	1
Chaetodon trifascialis	Chaetodontidae	Chaetodon	1	1	1	0	1	1	1	1
Heniochus varius	Chaetodontidae	Heniochus	1	1	1	0	1	1	1	1
Amblyglyphidodon curacao	Pomacentridae	Amblyglyphidodon	1	1	1	0	1	1	1	1
Pomacentrus amboinensis	Pomacentridae	Pomacentrus	1	1	1	0	1	1	1	1
Pomacentrus nigromanus	Pomacentridae	Pomacentrus	1	1	1	0	1	1	1	1
Diproctacanthus xanthurus	Labridae	Diproctacanthus	1	1	1	0	1	1	1	1
Hemigymnus melapterus	Labridae	Hemigymnus	1	1	1	0	1	1	1	1
Cetoscarus bicolor	Scaridae	Cetoscarus	1	1	1	0	1	1	1	1
Chlorurus bleekeri	Scaridae	Chlorurus	1	1	1	0	1	1	1	1
Chlorurus sordidus	Scaridae	Chlorurus	1	1	1	0	1	1	1	1
Scarus dimidiatus	Scaridae	Scarus	1	1	1	0	1	1	1	1
