sum.taxonomy	fishcard_12S_all_Blank.090617.S67.L001	fishcard_12S_all_Blank.niskin.S68.L001	fishcard_12S_all_GC.tissue.S69.L001	fishcard_12S_all_Grass.Pos.ctrl.S70.L001	fishcard_12S_all_GrassPCR.Neg.ctrl.S71.L001	fishcard_12S_all_LSC.A.1.S19.L001	fishcard_12S_all_LSC.A.2.S20.L001	fishcard_12S_all_LSC.A.3.S21.L001	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_LSC.B.2.S23.L001	fishcard_12S_all_LSC.B.3.S24.L001	fishcard_12S_all_LSC.C.1.S25.L001	fishcard_12S_all_LSC.C.2.S26.L001	fishcard_12S_all_LSC.C.3.S27.L001	fishcard_12S_all_MPA.Blank.T.26.S28.L001	fishcard_12S_all_MPA.PCR.Neg.ctrl.S30.L001	fishcard_12S_all_MPA.Pos.ctrl.S29.L001	fishcard_12S_all_PP.A.1.S1.L001	fishcard_12S_all_PP.A.2.S2.L001	fishcard_12S_all_PP.A.3.S3.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PP.B.2.S5.L001	fishcard_12S_all_PP.B.3.S6.L001	fishcard_12S_all_PP.C.1.S7.L001	fishcard_12S_all_PP.C.2.S8.L001	fishcard_12S_all_PP.C.3.S9.L001	fishcard_12S_all_PedRF.A.1.S10.L001	fishcard_12S_all_PedRF.A.2.S11.L001	fishcard_12S_all_PedRF.A.3.S12.L001	fishcard_12S_all_PedRF.B.1.S13.L001	fishcard_12S_all_PedRF.B.2.S14.L001	fishcard_12S_all_PedRF.B.3.S15.L001	fishcard_12S_all_PedRF.C.1.S16.L001	fishcard_12S_all_PedRF.C.2.S17.L001	fishcard_12S_all_PedRF.C.3.S18.L001	fishcard_12S_all_T0.A.S31.L001	fishcard_12S_all_T0.B.S32.L001	fishcard_12S_all_T0.C.S33.L001	fishcard_12S_all_T1.A.S34.L001	fishcard_12S_all_T1.B.S35.L001	fishcard_12S_all_T1.C.S36.L001	fishcard_12S_all_T10.A.S61.L001	fishcard_12S_all_T10.B.S62.L001	fishcard_12S_all_T10.C.S63.L001	fishcard_12S_all_T11.A.S64.L001	fishcard_12S_all_T11.B.S65.L001	fishcard_12S_all_T11.C.S66.L001	fishcard_12S_all_T2.A.S37.L001	fishcard_12S_all_T2.B.S38.L001	fishcard_12S_all_T2.C.S39.L001	fishcard_12S_all_T3.A.S40.L001	fishcard_12S_all_T3.B.S41.L001	fishcard_12S_all_T3.C.S42.L001	fishcard_12S_all_T4.A.S43.L001	fishcard_12S_all_T4.B.S44.L001	fishcard_12S_all_T4.C.S45.L001	fishcard_12S_all_T5.A.S46.L001	fishcard_12S_all_T5.B.S47.L001	fishcard_12S_all_T5.C.S48.L001	fishcard_12S_all_T6.A.S49.L001	fishcard_12S_all_T6.B.S50.L001	fishcard_12S_all_T6.C.S51.L001	fishcard_12S_all_T7.A.S52.L001	fishcard_12S_all_T7.B.S53.L001	fishcard_12S_all_T7.C.S54.L001	fishcard_12S_all_T8.A.S55.L001	fishcard_12S_all_T8.B.S56.L001	fishcard_12S_all_T8.C.S57.L001	fishcard_12S_all_T9.A.S58.L001	fishcard_12S_all_T9.B.S59.L001	fishcard_12S_all_T9.C.S60.L001
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1272	0	0	0	0	0	1	0	0	0	0	0	0	0	2079	0	0	0	0	2217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1187	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Luvaridae;Luvarus;Luvarus imperialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	837	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Alepocephalus;Alepocephalus tenebrosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Platytroctidae;NA;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Platytroctidae;Sagamichthys;Sagamichthys abei	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Congriscus;Congriscus megastomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax	0	0	0	0	0	0	0	0	1291	0	0	471	0	0	0	0	0	0	1	0	0	0	435	926	269	0	0	0	0	1329	0	1507	2017	0	8788	17291	2578	3617	2430	1191	2396	0	2563	3498	1273	0	0	3946	0	1209	0	1113	4608	1013	7826	992	0	8220	3587	0	0	7180	3881	0	745	0	521	0	6681	8750	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	4	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	859	0	0	0	0	0	0	0	0	0	0	0	80	0	1115	0	0	0	0	397	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Facciolella;Facciolella gilbertii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Lipolagus;Lipolagus ochotensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis	0	1	1	0	0	424	7021	675	0	9094	0	2774	1	3367	0	0	0	2363	0	1500	730	0	155	1	0	0	1777	542	1055	1810	3856	26628	8892	9015	34979	45722	20365	23354	7047	0	5974	34815	29706	4528	11186	2259	2872	14428	5384	7045	10543	2036	3930	4500	38796	10159	8363	20352	6728	5108	4307	6630	4821	4409	6914	1	2357	702	6957	21231	21
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	0	0	1	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	0	0	0	0	0	0	2	0	0	0	2	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	8	1415	9	19	27	8	7	250	0	2	441	14	3	6	564	2	5	1	3	2	0	1	2	12	0	1	8	1	0	3	3	0	1	1	0	0	0	2	10	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Notosudidae;Scopelosaurus;Scopelosaurus harryi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	13	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Cololabis;Cololabis saira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1229	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;	0	0	0	0	0	1	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	1	0	0	0	0	0	0	9	6	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus	0	0	0	0	0	226	0	0	0	2506	0	0	0	570	0	0	0	0	0	0	0	382	0	0	262	0	0	0	286	0	0	1887	0	238	0	0	0	0	0	2	2565	3721	0	1216	0	0	0	1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beloniformes;Hemiramphidae;Hyporhamphus;Hyporhamphus naos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beryciformes;Barbourisiidae;Barbourisia;Barbourisia rufa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Beryciformes;Melamphaidae;Scopelogadus;Scopelogadus mizolepis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi	0	1	0	0	0	0	878	0	0	0	938	52	518	1702	0	0	0	0	0	0	0	0	0	0	0	0	683	0	1708	0	539	0	1152	266	0	4231	897	166	12	0	0	20472	690	0	0	1386	0	0	2634	0	1882	0	1	0	0	0	591	5876	571	0	3183	1	6662	1340	0	0	243	176	0	1	1
Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota	0	0	0	0	0	0	0	0	3156	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;	1	0	1	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	242	0	0	729	0	645	1301	0	0	6170	2756	3317	1146	0	1	4277	1425	290	4072	1	0	7985	1655	3197	951	8864	6382	5547	15836	2950	418	11245	54	13603	10868	1	3193	1527	5091	3790	1921	1	1843	1793	3
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis	0	0	0	0	0	536	443	0	0	18	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	266	1535	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus	0	0	0	0	0	0	0	0	0	0	675	1	0	0	0	0	0	5769	2157	2820	865	450	0	0	493	120	300	0	0	0	0	0	1899	1256	0	1049	480	1146	786	0	1463	0	983	1403	1827	0	0	0	0	757	0	4905	1188	2256	0	1851	0	1	0	3614	0	0	0	648	3804	0	0	751	0	1431	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	325	2070	0	363	0	0	0	0	1897	386	335	1341	1	3	0	0	0	1	0	5032	0	1887	0	6147	0	1319	4881	1	0	0	800	6096	0	0	3481	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	474	0	0	431	0	1457	0	0	0	0	0	0	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi	0	0	0	0	0	0	1882	0	0	2636	0	109	530	0	0	0	0	0	0	0	0	733	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	245	0	0	2	0	0	640	0	730	12120	0	0	0	0	0	0	690	0	0	0	0	1	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	280	3	1261	431	0	0	1	0	0	0	0	1062	2157	0	0	1232	0	224	785	1915	407	0	272	7614	0	0	509	299	1944	112	0	70	113	353	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus blanchardi	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0	0	0	0	137	499	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
