"","seq_number","AER_PERANG","Anitas_Garden","BATU_ANGUS","BATU_MERAH","BENTENG","CALIFORDIA_DREAMING","CAPE_KRI","CORAL_CANYON","JABOI","KABUI_STRAIT_I","KABUI_STRAIT_II","KABUI_STRAIT_III","KAMPUNG_PAUDEAN","KRI_LAGOON","MELISSAS_GARDEN","PANTAI_LABUHAN","PANTAI_PARIGI","PELATAK","PULAU_ABANG_BESAR","PULAU_ABANG_KECIL","PULAU_PETONG","PULAU_PUTUS","PULAU_SEULAKO","RUBIAH_SEA_GARDEN","SARDINE_REEF","SECRET_LAGOON","SHIP_WRECK","SNAPPER_POINT","SUMUR_TIGA","TANJUNG_KUSU_KUSU","TANJUNG_LAMPU","TELUK_KEMBAHU","TERNATE_1","TERNATE_2","TERNATE_3","WAKATOBI_1","WAKATOBI_2","WAKATOBI_3","WEST_MANSUAR","sum.taxonomy","number"
"1","merged_bio_12S_miu_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72972,0,62221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603,197,0,"Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus fuscescens","taxon_1"
"2","merged_bio_12S_miu_100",0,0,0,0,0,0,0,9387,0,0,0,0,0,0,2599,0,0,0,0,0,0,0,0,0,0,0,0,1694,968,0,0,0,0,2596,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio lunaris","taxon_80"
"3","merged_bio_12S_miu_1002",0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Bothus;Bothus pantherinus","taxon_529"
"4","merged_bio_12S_miu_1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx melampygus","taxon_79"
"5","merged_bio_12S_miu_1008",0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,18,0,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus psittacus","taxon_432"
"6","merged_bio_12S_miu_1009",0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Siluriformes;Plotosidae;Plotosus;","taxon_466"
"7","merged_bio_12S_miu_101",0,5650,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,0,0,4979,0,815,101,0,"Eukaryota;Chordata;Actinopteri;Syngnathiformes;Mullidae;Parupeneus;Parupeneus multifasciatus","taxon_67"
"8","merged_bio_12S_miu_1013",0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus sp. CBM DNA No. 2014-621","taxon_447"
"9","merged_bio_12S_miu_1015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron stellatus","taxon_303"
"10","merged_bio_12S_miu_1018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Dinematichthys;Dinematichthys iluocoeteoides","taxon_301"
"11","merged_bio_12S_miu_102",0,0,0,0,0,0,0,0,0,0,17121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Rastrelliger;Rastrelliger brachysoma","taxon_119"
"12","merged_bio_12S_miu_1021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio caerulaurea","taxon_8"
"13","merged_bio_12S_miu_1023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres leucurus","taxon_324"
"14","merged_bio_12S_miu_1026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Pomacentrus;","taxon_23"
