Region,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
Aceh,1,interpolated,0,48.467,45.473,51.46,0.164,0.143,0.186
Aceh,2,interpolated,0,88.962,83.386,94.538,0.25,0.22,0.28
Aceh,3,interpolated,0,125.308,117.322,133.294,0.314,0.279,0.348
Aceh,4,interpolated,0,158.576,148.299,168.853,0.363,0.326,0.401
Aceh,5,interpolated,0,189.441,176.964,201.917,0.403,0.364,0.443
Aceh,6,interpolated,0,218.359,203.761,232.958,0.437,0.396,0.477
Aceh,7,interpolated,0,245.662,229.01,262.314,0.465,0.424,0.506
Aceh,8,interpolated,0,271.599,252.956,290.241,0.489,0.447,0.531
Aceh,9,interpolated,0,296.361,275.787,316.935,0.51,0.468,0.552
Aceh,10,interpolated,0,320.1,297.648,342.552,0.529,0.486,0.571
Aceh,11,interpolated,0,342.936,318.655,367.216,0.545,0.503,0.588
Aceh,12,interpolated,0,364.967,338.903,391.031,0.56,0.517,0.603
Aceh,13,interpolated,0,386.276,358.467,414.085,0.574,0.53,0.617
Aceh,14,interpolated,0,406.933,377.413,436.454,0.586,0.542,0.63
Aceh,15,observed,0,427,395.796,458.204,0.598,0.553,0.643
Aceh,16,extrapolated,0,446.493,413.624,479.362,0.609,0.564,0.655
Aceh,17,extrapolated,0,465.429,430.906,499.952,0.62,0.574,0.667
Aceh,18,extrapolated,0,483.824,447.65,519.997,0.631,0.584,0.678
Aceh,19,extrapolated,0,501.692,463.865,539.52,0.642,0.594,0.69
Aceh,20,extrapolated,0,519.05,479.56,558.541,0.652,0.604,0.701
Aceh,21,extrapolated,0,535.912,494.746,577.078,0.662,0.613,0.711
Aceh,22,extrapolated,0,552.292,509.434,595.151,0.672,0.622,0.721
Aceh,23,extrapolated,0,568.204,523.633,612.774,0.681,0.631,0.731
Aceh,24,extrapolated,0,583.661,537.356,629.965,0.69,0.639,0.741
Aceh,25,extrapolated,0,598.675,550.614,646.737,0.699,0.648,0.75
Aceh,26,extrapolated,0,613.261,563.419,663.103,0.708,0.656,0.759
Aceh,27,extrapolated,0,627.43,575.785,679.076,0.716,0.664,0.768
Aceh,28,extrapolated,0,641.194,587.721,694.667,0.724,0.672,0.776
Aceh,29,extrapolated,0,654.564,599.243,709.886,0.732,0.68,0.784
Aceh,30,extrapolated,0,667.553,610.361,724.744,0.74,0.687,0.792
Aceh,31,extrapolated,0,680.17,621.088,739.251,0.747,0.694,0.8
Aceh,32,extrapolated,0,692.426,631.437,753.415,0.754,0.702,0.807
Aceh,33,extrapolated,0,704.332,641.419,767.245,0.761,0.709,0.814
Aceh,34,extrapolated,0,715.898,651.047,780.748,0.768,0.716,0.821
Aceh,35,extrapolated,0,727.133,660.333,793.932,0.775,0.722,0.827
Aceh,36,extrapolated,0,738.047,669.287,806.806,0.781,0.729,0.833
Aceh,37,extrapolated,0,748.648,677.921,819.375,0.788,0.735,0.84
Aceh,38,extrapolated,0,758.947,686.247,831.648,0.794,0.742,0.845
Aceh,39,extrapolated,0,768.952,694.274,843.629,0.799,0.748,0.851
Aceh,40,extrapolated,0,778.67,702.014,855.327,0.805,0.754,0.856
Aceh,41,extrapolated,0,788.111,709.476,866.746,0.811,0.76,0.862
Aceh,42,extrapolated,0,797.282,716.67,877.894,0.816,0.766,0.867
Aceh,43,extrapolated,0,806.191,723.606,888.775,0.821,0.771,0.871
Aceh,44,extrapolated,0,814.845,730.292,899.397,0.827,0.777,0.876
Aceh,45,extrapolated,0,823.251,736.739,909.764,0.832,0.782,0.881
Aceh,46,extrapolated,0,831.418,742.954,919.882,0.836,0.788,0.885
Aceh,47,extrapolated,0,839.351,748.945,929.756,0.841,0.793,0.889
Aceh,48,extrapolated,0,847.057,754.721,939.393,0.846,0.798,0.893
Aceh,49,extrapolated,0,854.543,760.29,948.796,0.85,0.803,0.897
