"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,281.4,271.12,291.68,0.35,0.334,0.366
"2",2,"interpolated",0,464.3,446.865,481.735,0.452,0.433,0.471
"3",3,"interpolated",0,618.6,594.978,642.222,0.516,0.495,0.537
"4",4,"interpolated",0,754.8,725.444,784.156,0.559,0.537,0.58
"5",5,"observed",0,879,843.996,914.004,0.598,0.574,0.621
"6",6,"extrapolated",0,992.257,951.562,1032.952,0.633,0.608,0.658
"7",7,"extrapolated",0,1095.536,1049.014,1142.058,0.665,0.64,0.691
"8",8,"extrapolated",0,1189.715,1137.198,1242.232,0.695,0.669,0.721
"9",9,"extrapolated",0,1275.597,1216.935,1334.259,0.722,0.695,0.748
"10",10,"extrapolated",0,1353.911,1289.004,1418.819,0.746,0.72,0.772
"11",11,"extrapolated",0,1425.326,1354.134,1496.519,0.769,0.743,0.794
"12",12,"extrapolated",0,1490.449,1412.996,1567.903,0.789,0.764,0.814
"13",13,"extrapolated",0,1549.834,1466.203,1633.465,0.808,0.783,0.832
"14",14,"extrapolated",0,1603.987,1514.312,1693.662,0.825,0.801,0.848
"15",15,"extrapolated",0,1653.369,1557.827,1748.911,0.84,0.817,0.863
