"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,80.3,76.786,83.814,0.663,0.641,0.686
"2",2,"interpolated",0,107.333,102.721,111.946,0.788,0.771,0.805
"3",3,"interpolated",0,124.367,118.373,130.36,0.828,0.811,0.844
"4",4,"interpolated",0,138.21,130.887,145.532,0.852,0.836,0.868
"5",5,"interpolated",0,150.103,141.522,158.685,0.868,0.852,0.884
"6",6,"interpolated",0,160.686,150.91,170.462,0.88,0.863,0.896
"7",7,"interpolated",0,170.358,159.441,181.276,0.888,0.871,0.904
"8",8,"interpolated",0,179.378,167.358,191.398,0.894,0.877,0.911
"9",9,"interpolated",0,187.9,174.801,200.999,0.899,0.881,0.917
"10",10,"observed",0,196,181.828,210.172,0.904,0.885,0.923
"11",11,"extrapolated",0,203.699,188.439,218.958,0.909,0.889,0.929
"12",12,"extrapolated",0,211.016,194.639,227.393,0.913,0.893,0.934
"13",13,"extrapolated",0,217.971,200.436,235.506,0.918,0.896,0.939
"14",14,"extrapolated",0,224.581,205.843,243.319,0.922,0.9,0.943
"15",15,"extrapolated",0,230.864,210.877,250.85,0.926,0.904,0.948
"16",16,"extrapolated",0,236.835,215.556,258.114,0.929,0.907,0.952
"17",17,"extrapolated",0,242.511,219.9,265.122,0.933,0.91,0.955
"18",18,"extrapolated",0,247.905,223.928,271.882,0.936,0.914,0.959
"19",19,"extrapolated",0,253.032,227.661,278.403,0.939,0.917,0.962
"20",20,"extrapolated",0,257.905,231.119,284.692,0.942,0.92,0.965
"21",21,"extrapolated",0,262.537,234.321,290.753,0.945,0.923,0.967
"22",22,"extrapolated",0,266.939,237.285,296.593,0.948,0.926,0.97
"23",23,"extrapolated",0,271.123,240.029,302.218,0.95,0.929,0.972
"24",24,"extrapolated",0,275.1,242.568,307.632,0.953,0.932,0.974
"25",25,"extrapolated",0,278.88,244.919,312.841,0.955,0.934,0.976
"26",26,"extrapolated",0,282.472,247.094,317.85,0.957,0.937,0.978
"27",27,"extrapolated",0,285.887,249.108,322.666,0.96,0.939,0.98
"28",28,"extrapolated",0,289.132,250.972,327.292,0.962,0.942,0.981
"29",29,"extrapolated",0,292.217,252.697,331.736,0.963,0.944,0.983
"30",30,"extrapolated",0,295.149,254.295,336.003,0.965,0.947,0.984
"31",31,"extrapolated",0,297.935,255.773,340.097,0.967,0.949,0.985
"32",32,"extrapolated",0,300.584,257.142,344.025,0.969,0.951,0.986
"33",33,"extrapolated",0,303.101,258.409,347.792,0.97,0.953,0.987
"34",34,"extrapolated",0,305.493,259.583,351.404,0.972,0.955,0.988
"35",35,"extrapolated",0,307.767,260.669,354.866,0.973,0.957,0.989
"36",36,"extrapolated",0,309.929,261.674,358.183,0.974,0.959,0.99
"37",37,"extrapolated",0,311.983,262.605,361.361,0.976,0.96,0.991
"38",38,"extrapolated",0,313.935,263.466,364.405,0.977,0.962,0.992
"39",39,"extrapolated",0,315.791,264.263,367.319,0.978,0.964,0.992
"40",40,"extrapolated",0,317.555,265.001,370.109,0.979,0.965,0.993
"41",41,"extrapolated",0,319.231,265.684,372.779,0.98,0.967,0.994
"42",42,"extrapolated",0,320.825,266.315,375.334,0.981,0.968,0.994
"43",43,"extrapolated",0,322.339,266.899,377.779,0.982,0.97,0.995
"44",44,"extrapolated",0,323.779,267.44,380.118,0.983,0.971,0.995
"45",45,"extrapolated",0,325.147,267.939,382.354,0.984,0.972,0.995
"46",46,"extrapolated",0,326.447,268.4,384.494,0.985,0.973,0.996
"47",47,"extrapolated",0,327.683,268.826,386.539,0.985,0.975,0.996
"48",48,"extrapolated",0,328.857,269.22,388.495,0.986,0.976,0.997
"49",49,"extrapolated",0,329.974,269.584,390.364,0.987,0.977,0.997
"50",50,"extrapolated",0,331.035,269.919,392.151,0.987,0.978,0.997
"51",51,"extrapolated",0,332.044,270.228,393.859,0.988,0.979,0.997
"52",52,"extrapolated",0,333.002,270.513,395.491,0.989,0.98,0.998
"53",53,"extrapolated",0,333.913,270.776,397.051,0.989,0.981,0.998
"54",54,"extrapolated",0,334.779,271.017,398.541,0.99,0.981,0.998
"55",55,"extrapolated",0,335.602,271.24,399.965,0.99,0.982,0.998
"56",56,"extrapolated",0,336.385,271.444,401.325,0.991,0.983,0.998
"57",57,"extrapolated",0,337.128,271.632,402.624,0.991,0.984,0.999
"58",58,"extrapolated",0,337.835,271.805,403.865,0.992,0.984,0.999
"59",59,"extrapolated",0,338.506,271.963,405.05,0.992,0.985,0.999
"60",60,"extrapolated",0,339.145,272.107,406.183,0.992,0.986,0.999
"61",61,"extrapolated",0,339.752,272.24,407.264,0.993,0.986,0.999
"62",62,"extrapolated",0,340.328,272.361,408.296,0.993,0.987,0.999
"63",63,"extrapolated",0,340.877,272.471,409.282,0.994,0.988,0.999
"64",64,"extrapolated",0,341.397,272.571,410.224,0.994,0.988,1
"65",65,"extrapolated",0,341.893,272.663,411.123,0.994,0.989,1
"66",66,"extrapolated",0,342.363,272.746,411.981,0.994,0.989,1
"67",67,"extrapolated",0,342.811,272.821,412.8,0.995,0.99,1
"68",68,"extrapolated",0,343.236,272.889,413.583,0.995,0.99,1
"69",69,"extrapolated",0,343.64,272.95,414.33,0.995,0.991,1
"70",70,"extrapolated",0,344.024,273.005,415.043,0.995,0.991,1
"71",71,"extrapolated",0,344.389,273.054,415.724,0.996,0.991,1
"72",72,"extrapolated",0,344.736,273.098,416.374,0.996,0.992,1
"73",73,"extrapolated",0,345.066,273.137,416.994,0.996,0.992,1
"74",74,"extrapolated",0,345.379,273.172,417.586,0.996,0.992,1
"75",75,"extrapolated",0,345.677,273.202,418.152,0.996,0.993,1
"76",76,"extrapolated",0,345.96,273.229,418.691,0.997,0.993,1
"77",77,"extrapolated",0,346.229,273.252,419.206,0.997,0.993,1
"78",78,"extrapolated",0,346.485,273.272,419.698,0.997,0.994,1
"79",79,"extrapolated",0,346.728,273.289,420.168,0.997,0.994,1
"80",80,"extrapolated",0,346.959,273.303,420.616,0.997,0.994,1
"81",81,"extrapolated",0,347.179,273.315,421.043,0.997,0.995,1
"82",82,"extrapolated",0,347.388,273.324,421.451,0.998,0.995,1
"83",83,"extrapolated",0,347.586,273.331,421.841,0.998,0.995,1
"84",84,"extrapolated",0,347.775,273.336,422.213,0.998,0.995,1
"85",85,"extrapolated",0,347.954,273.34,422.568,0.998,0.995,1
"86",86,"extrapolated",0,348.124,273.342,422.907,0.998,0.996,1
"87",87,"extrapolated",0,348.286,273.342,423.23,0.998,0.996,1
"88",88,"extrapolated",0,348.44,273.341,423.539,0.998,0.996,1
"89",89,"extrapolated",0,348.586,273.339,423.833,0.998,0.996,1
"90",90,"extrapolated",0,348.725,273.336,424.115,0.998,0.996,1
"91",91,"extrapolated",0,348.857,273.332,424.383,0.998,0.997,1
"92",92,"extrapolated",0,348.983,273.327,424.639,0.999,0.997,1
"93",93,"extrapolated",0,349.102,273.321,424.884,0.999,0.997,1
"94",94,"extrapolated",0,349.216,273.314,425.117,0.999,0.997,1
"95",95,"extrapolated",0,349.324,273.307,425.34,0.999,0.997,1
"96",96,"extrapolated",0,349.426,273.299,425.553,0.999,0.997,1
"97",97,"extrapolated",0,349.523,273.291,425.756,0.999,0.997,1
"98",98,"extrapolated",0,349.616,273.282,425.95,0.999,0.997,1
"99",99,"extrapolated",0,349.704,273.273,426.135,0.999,0.998,1
"100",100,"extrapolated",0,349.788,273.264,426.311,0.999,0.998,1
"101",101,"extrapolated",0,349.867,273.254,426.48,0.999,0.998,1
"102",102,"extrapolated",0,349.943,273.245,426.641,0.999,0.998,1
"103",103,"extrapolated",0,350.015,273.235,426.794,0.999,0.998,1
"104",104,"extrapolated",0,350.083,273.224,426.941,0.999,0.998,1
"105",105,"extrapolated",0,350.148,273.214,427.081,0.999,0.998,1
"106",106,"extrapolated",0,350.209,273.204,427.215,0.999,0.998,1
"107",107,"extrapolated",0,350.268,273.193,427.342,0.999,0.998,1
"108",108,"extrapolated",0,350.324,273.183,427.464,0.999,0.998,1
"109",109,"extrapolated",0,350.377,273.173,427.58,0.999,0.998,1
"110",110,"extrapolated",0,350.427,273.162,427.691,0.999,0.999,1
"111",111,"extrapolated",0,350.475,273.152,427.797,0.999,0.999,1
"112",112,"extrapolated",0,350.52,273.142,427.899,0.999,0.999,1
"113",113,"extrapolated",0,350.563,273.131,427.995,0.999,0.999,1
"114",114,"extrapolated",0,350.604,273.121,428.088,1,0.999,1
"115",115,"extrapolated",0,350.643,273.111,428.176,1,0.999,1
"116",116,"extrapolated",0,350.681,273.101,428.26,1,0.999,1
"117",117,"extrapolated",0,350.716,273.091,428.34,1,0.999,1
"118",118,"extrapolated",0,350.749,273.082,428.417,1,0.999,1
"119",119,"extrapolated",0,350.781,273.072,428.49,1,0.999,1
"120",120,"extrapolated",0,350.811,273.063,428.56,1,0.999,1
"121",121,"extrapolated",0,350.84,273.054,428.627,1,0.999,1
"122",122,"extrapolated",0,350.868,273.045,428.69,1,0.999,1
"123",123,"extrapolated",0,350.893,273.036,428.751,1,0.999,1
"124",124,"extrapolated",0,350.918,273.027,428.809,1,0.999,1
"125",125,"extrapolated",0,350.942,273.018,428.865,1,0.999,1
"126",126,"extrapolated",0,350.964,273.01,428.918,1,0.999,1
"127",127,"extrapolated",0,350.985,273.002,428.969,1,0.999,1
"128",128,"extrapolated",0,351.005,272.994,429.017,1,0.999,1
"129",129,"extrapolated",0,351.025,272.986,429.063,1,0.999,1
"130",130,"extrapolated",0,351.043,272.978,429.107,1,0.999,1
"131",131,"extrapolated",0,351.06,272.971,429.149,1,0.999,1
"132",132,"extrapolated",0,351.076,272.963,429.19,1,0.999,1
"133",133,"extrapolated",0,351.092,272.956,429.228,1,0.999,1
"134",134,"extrapolated",0,351.107,272.949,429.265,1,0.999,1
"135",135,"extrapolated",0,351.121,272.942,429.3,1,1,1
"136",136,"extrapolated",0,351.135,272.936,429.334,1,1,1
"137",137,"extrapolated",0,351.147,272.929,429.366,1,1,1
"138",138,"extrapolated",0,351.159,272.923,429.396,1,1,1
"139",139,"extrapolated",0,351.171,272.917,429.425,1,1,1
"140",140,"extrapolated",0,351.182,272.911,429.453,1,1,1
"141",141,"extrapolated",0,351.192,272.905,429.48,1,1,1
"142",142,"extrapolated",0,351.202,272.899,429.505,1,1,1
"143",143,"extrapolated",0,351.212,272.893,429.53,1,1,1
"144",144,"extrapolated",0,351.221,272.888,429.553,1,1,1
"145",145,"extrapolated",0,351.229,272.883,429.575,1,1,1
"146",146,"extrapolated",0,351.237,272.878,429.597,1,1,1
