"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,129,122.437,135.563,0.708,0.681,0.735
"2",2,"interpolated",0,166.667,156.499,176.834,0.773,0.745,0.8
"3",3,"observed",0,196,183.485,208.515,0.823,0.791,0.855
"4",4,"extrapolated",0,218.844,204.242,233.445,0.862,0.829,0.896
"5",5,"extrapolated",0,236.633,219.729,253.538,0.893,0.86,0.926
"6",6,"extrapolated",0,250.487,231.039,269.935,0.916,0.885,0.947
"7",7,"extrapolated",0,261.276,239.198,283.354,0.935,0.907,0.963
"8",8,"extrapolated",0,269.678,245.038,294.319,0.949,0.924,0.975
"9",9,"extrapolated",0,276.221,249.189,303.253,0.96,0.938,0.983
"10",10,"extrapolated",0,281.317,252.12,310.514,0.969,0.95,0.989
"11",11,"extrapolated",0,285.285,254.169,316.402,0.976,0.959,0.993
"12",12,"extrapolated",0,288.376,255.583,321.168,0.981,0.967,0.996
"13",13,"extrapolated",0,290.782,256.542,325.023,0.985,0.973,0.998
"14",14,"extrapolated",0,292.656,257.175,328.138,0.989,0.978,0.999
"15",15,"extrapolated",0,294.116,257.576,330.655,0.991,0.982,1
