Region,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
Derawan,1,interpolated,0,43.462,39.582,47.341,0.104,0.078,0.13
Derawan,2,interpolated,0,82.397,75.658,89.137,0.184,0.15,0.218
Derawan,3,interpolated,0,117.864,108.73,126.998,0.246,0.209,0.284
Derawan,4,interpolated,0,150.625,139.354,161.896,0.296,0.257,0.334
Derawan,5,interpolated,0,181.239,167.991,194.488,0.336,0.297,0.374
Derawan,6,interpolated,0,210.116,194.997,225.235,0.369,0.33,0.408
Derawan,7,interpolated,0,237.561,220.646,254.475,0.396,0.357,0.436
Derawan,8,interpolated,0,263.804,245.147,282.462,0.42,0.379,0.46
Derawan,9,interpolated,0,289.024,268.662,309.385,0.44,0.399,0.481
Derawan,10,interpolated,0,313.357,291.319,335.394,0.458,0.416,0.5
Derawan,11,interpolated,0,336.91,313.215,360.605,0.474,0.431,0.517
Derawan,12,interpolated,0,359.769,334.429,385.109,0.488,0.444,0.533
Derawan,13,observed,0,382,355.022,408.978,0.503,0.457,0.548
Derawan,14,extrapolated,0,403.62,375.004,432.236,0.516,0.47,0.562
Derawan,15,extrapolated,0,424.646,394.387,454.904,0.53,0.482,0.577
Derawan,16,extrapolated,0,445.093,413.184,477.002,0.542,0.494,0.591
Derawan,17,extrapolated,0,464.979,431.407,498.551,0.555,0.506,0.604
Derawan,18,extrapolated,0,484.319,449.068,519.57,0.567,0.517,0.617
Derawan,19,extrapolated,0,503.127,466.179,540.074,0.579,0.528,0.63
Derawan,20,extrapolated,0,521.418,482.754,560.081,0.591,0.539,0.642
Derawan,21,extrapolated,0,539.206,498.806,579.606,0.602,0.55,0.654
Derawan,22,extrapolated,0,556.506,514.349,598.662,0.613,0.56,0.665
Derawan,23,extrapolated,0,573.33,529.396,617.263,0.624,0.57,0.677
Derawan,24,extrapolated,0,589.691,543.962,635.421,0.634,0.58,0.687
Derawan,25,extrapolated,0,605.604,558.059,653.149,0.644,0.59,0.698
Derawan,26,extrapolated,0,621.078,571.701,670.456,0.654,0.6,0.708
Derawan,27,extrapolated,0,636.128,584.902,687.353,0.663,0.609,0.717
