"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,271.75,259.895,283.605,0.255,0.238,0.272
"2",2,"interpolated",0,474.167,454.271,494.063,0.364,0.341,0.387
"3",3,"interpolated",0,647,618.59,675.41,0.441,0.41,0.471
"4",4,"observed",0,799,761.113,836.887,0.508,0.472,0.545
"5",5,"extrapolated",0,932.678,884.345,981.011,0.567,0.527,0.608
"6",6,"extrapolated",0,1050.242,990.703,1109.781,0.62,0.577,0.662
"7",7,"extrapolated",0,1153.635,1082.455,1224.816,0.665,0.622,0.709
"8",8,"extrapolated",0,1244.566,1161.63,1327.501,0.706,0.663,0.749
"9",9,"extrapolated",0,1324.535,1230.002,1419.068,0.741,0.7,0.783
"10",10,"extrapolated",0,1394.865,1289.1,1500.63,0.772,0.733,0.812
"11",11,"extrapolated",0,1456.717,1340.232,1573.202,0.8,0.762,0.837
"12",12,"extrapolated",0,1511.114,1384.52,1637.708,0.824,0.789,0.859
"13",13,"extrapolated",0,1558.954,1422.918,1694.989,0.845,0.813,0.878
"14",14,"extrapolated",0,1601.027,1456.244,1745.809,0.864,0.834,0.894
"15",15,"extrapolated",0,1638.028,1485.198,1790.859,0.88,0.853,0.908
