"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,109.206,106.691,111.721,0.29,0.278,0.303
"2",2,"interpolated",0,186.695,182.4,190.99,0.411,0.398,0.424
"3",3,"interpolated",0,251.046,245.004,257.088,0.48,0.467,0.493
"4",4,"interpolated",0,307.826,300.075,315.577,0.526,0.513,0.539
"5",5,"interpolated",0,359.591,350.164,369.018,0.559,0.546,0.572
"6",6,"interpolated",0,407.749,396.676,418.821,0.584,0.572,0.597
"7",7,"interpolated",0,453.145,440.453,465.837,0.605,0.592,0.617
"8",8,"interpolated",0,496.326,482.038,510.614,0.621,0.609,0.634
"9",9,"interpolated",0,537.664,521.801,553.527,0.636,0.623,0.649
"10",10,"interpolated",0,577.426,560.008,594.843,0.649,0.636,0.661
"11",11,"interpolated",0,615.811,596.857,634.765,0.66,0.647,0.672
"12",12,"interpolated",0,652.976,632.503,673.448,0.67,0.657,0.682
"13",13,"interpolated",0,689.043,667.068,711.018,0.679,0.666,0.692
"14",14,"interpolated",0,724.114,700.653,747.576,0.687,0.674,0.7
"15",15,"interpolated",0,758.273,733.34,783.207,0.695,0.682,0.708
"16",16,"interpolated",0,791.592,765.2,817.983,0.702,0.689,0.715
"17",17,"interpolated",0,824.13,796.293,851.966,0.709,0.696,0.722
"18",18,"interpolated",0,855.94,826.671,885.209,0.715,0.702,0.728
"19",19,"interpolated",0,887.068,856.379,917.757,0.721,0.708,0.734
"20",20,"interpolated",0,917.555,885.458,949.653,0.726,0.713,0.739
"21",21,"interpolated",0,947.436,913.942,980.93,0.732,0.719,0.745
"22",22,"interpolated",0,976.744,941.864,1011.623,0.737,0.724,0.75
"23",23,"interpolated",0,1005.506,969.253,1041.759,0.741,0.728,0.754
"24",24,"interpolated",0,1033.749,996.133,1071.366,0.746,0.733,0.759
"25",25,"interpolated",0,1061.497,1022.528,1100.465,0.75,0.737,0.763
"26",26,"interpolated",0,1088.771,1048.461,1129.08,0.754,0.741,0.767
"27",27,"interpolated",0,1115.59,1073.951,1157.229,0.758,0.745,0.771
"28",28,"interpolated",0,1141.974,1099.016,1184.932,0.762,0.749,0.775
"29",29,"interpolated",0,1167.939,1123.673,1212.206,0.766,0.753,0.779
"30",30,"interpolated",0,1193.501,1147.937,1239.066,0.769,0.756,0.783
"31",31,"interpolated",0,1218.675,1171.823,1265.527,0.773,0.76,0.786
"32",32,"interpolated",0,1243.474,1195.345,1291.604,0.776,0.763,0.789
"33",33,"interpolated",0,1267.912,1218.514,1317.309,0.779,0.766,0.793
"34",34,"observed",0,1292,1241.344,1342.656,0.783,0.769,0.796
"35",35,"extrapolated",0,1315.744,1263.837,1367.651,0.786,0.772,0.799
"36",36,"extrapolated",0,1339.148,1285.997,1392.299,0.789,0.775,0.802
"37",37,"extrapolated",0,1362.218,1307.83,1416.606,0.792,0.778,0.805
"38",38,"extrapolated",0,1384.958,1329.338,1440.578,0.795,0.781,0.808
"39",39,"extrapolated",0,1407.373,1350.525,1464.221,0.798,0.784,0.811
"40",40,"extrapolated",0,1429.467,1371.396,1487.539,0.801,0.787,0.814
"41",41,"extrapolated",0,1451.246,1391.953,1510.538,0.803,0.79,0.817
"42",42,"extrapolated",0,1472.713,1412.202,1533.224,0.806,0.792,0.82
"43",43,"extrapolated",0,1493.873,1432.145,1555.601,0.809,0.795,0.823
"44",44,"extrapolated",0,1514.731,1451.787,1577.675,0.812,0.798,0.826
"45",45,"extrapolated",0,1535.291,1471.131,1599.45,0.814,0.8,0.828
"46",46,"extrapolated",0,1555.556,1490.181,1620.932,0.817,0.803,0.831
"47",47,"extrapolated",0,1575.532,1508.94,1642.124,0.82,0.806,0.834
"48",48,"extrapolated",0,1595.222,1527.413,1663.032,0.822,0.808,0.836
"49",49,"extrapolated",0,1614.631,1545.603,1683.659,0.825,0.811,0.839
"50",50,"extrapolated",0,1633.762,1563.514,1704.011,0.827,0.813,0.842
"51",51,"extrapolated",0,1652.62,1581.149,1724.091,0.83,0.815,0.844
"52",52,"extrapolated",0,1671.208,1598.513,1743.904,0.832,0.818,0.847
"53",53,"extrapolated",0,1689.531,1615.608,1763.453,0.835,0.82,0.849
"54",54,"extrapolated",0,1707.591,1632.439,1782.743,0.837,0.822,0.851
"55",55,"extrapolated",0,1725.394,1649.009,1801.778,0.839,0.825,0.854
"56",56,"extrapolated",0,1742.941,1665.322,1820.561,0.842,0.827,0.856
"57",57,"extrapolated",0,1760.238,1681.381,1839.095,0.844,0.829,0.858
"58",58,"extrapolated",0,1777.288,1697.19,1857.386,0.846,0.831,0.861
"59",59,"extrapolated",0,1794.094,1712.752,1875.435,0.848,0.834,0.863
"60",60,"extrapolated",0,1810.659,1728.071,1893.247,0.85,0.836,0.865
"61",61,"extrapolated",0,1826.988,1743.151,1910.826,0.853,0.838,0.867
"62",62,"extrapolated",0,1843.083,1757.994,1928.173,0.855,0.84,0.869
"63",63,"extrapolated",0,1858.949,1772.604,1945.293,0.857,0.842,0.872
"64",64,"extrapolated",0,1874.587,1786.985,1962.189,0.859,0.844,0.874
"65",65,"extrapolated",0,1890.002,1801.14,1978.864,0.861,0.846,0.876
"66",66,"extrapolated",0,1905.196,1815.072,1995.321,0.863,0.848,0.878
"67",67,"extrapolated",0,1920.173,1828.785,2011.562,0.865,0.85,0.88
"68",68,"extrapolated",0,1934.937,1842.281,2027.592,0.867,0.852,0.882
"69",69,"extrapolated",0,1949.489,1855.565,2043.412,0.869,0.854,0.883
"70",70,"extrapolated",0,1963.833,1868.639,2059.026,0.871,0.856,0.885
"71",71,"extrapolated",0,1977.971,1881.506,2074.437,0.872,0.858,0.887
"72",72,"extrapolated",0,1991.908,1894.17,2089.647,0.874,0.859,0.889
"73",73,"extrapolated",0,2005.646,1906.633,2104.658,0.876,0.861,0.891
"74",74,"extrapolated",0,2019.187,1918.9,2119.474,0.878,0.863,0.892
