"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,235.818,228.971,242.665,0.327,0.313,0.341
"2",2,"interpolated",0,394.527,381.937,407.118,0.437,0.422,0.452
"3",3,"interpolated",0,527.279,509.317,545.241,0.497,0.481,0.513
"4",4,"interpolated",0,645.888,622.805,668.971,0.538,0.521,0.554
"5",5,"interpolated",0,754.918,726.926,782.909,0.569,0.552,0.585
"6",6,"interpolated",0,856.649,823.935,889.363,0.594,0.577,0.611
"7",7,"interpolated",0,952.479,915.203,989.754,0.615,0.597,0.632
"8",8,"interpolated",0,1043.339,1001.642,1085.036,0.633,0.615,0.651
"9",9,"interpolated",0,1129.891,1083.896,1175.886,0.649,0.631,0.667
"10",10,"interpolated",0,1212.636,1162.452,1262.821,0.663,0.645,0.682
"11",11,"observed",0,1292,1237.718,1346.282,0.677,0.658,0.696
"12",12,"extrapolated",0,1368.12,1309.794,1426.446,0.69,0.671,0.71
"13",13,"extrapolated",0,1441.129,1378.78,1503.478,0.703,0.683,0.724
"14",14,"extrapolated",0,1511.154,1444.777,1577.531,0.715,0.694,0.736
"15",15,"extrapolated",0,1578.317,1507.887,1648.748,0.727,0.705,0.748
