"seq_number","Site","Bio_repB","Bio_repC","Bio_repA","Bio_repD","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_CO1_1","Anitas_Garden",1,1,NA,NA,2,0.942334850412798,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","AER_PERANG",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BATU_ANGUS",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BATU_MERAH",1,1,1,1,4,0.994751334412437,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_ABANG_BESAR",1,NA,NA,1,2,0.883363628353408,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_PETONG",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CORAL_CANYON",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CALIFORDIA_DREAMING",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","CAPE_KRI",NA,1,1,NA,2,0.942661074082989,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KRI_LAGOON",1,1,NA,NA,2,0.942334850412798,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KAMPUNG_PAUDEAN",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_I",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_II",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","KABUI_STRAIT_III",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","MELISSAS_GARDEN",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PANTAI_LABUHAN",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PELATAK",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_PUTUS",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PANTAI_PARIGI",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","BENTENG",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","JABOI",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SUMUR_TIGA",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","RUBIAH_SEA_GARDEN",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","PULAU_SEULAKO",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SECRET_LAGOON",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SNAPPER_POINT",1,1,1,1,4,0.994751334412437,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SARDINE_REEF",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","SHIP_WRECK",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TELUK_KEMBAHU",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TANJUNG_KUSU_KUSU",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TANJUNG_LAMPU",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TERNATE_1",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TERNATE_2",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","TERNATE_3",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_1","WEST_MANSUAR",1,1,1,NA,3,0.989093569113062,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"merged_CO1_10","Anitas_Garden",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_10","AER_PERANG",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_10","BATU_ANGUS",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_10","BATU_MERAH",1,NA,1,1,3,0.969791682571166,""
"merged_CO1_10","PULAU_PETONG",1,NA,1,NA,2,0.933967937718963,""
"merged_CO1_10","CORAL_CANYON",1,1,NA,NA,2,0.942334850412798,""
"merged_CO1_10","CALIFORDIA_DREAMING",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_10","CAPE_KRI",1,1,1,NA,3,0.989093569113062,""
"merged_CO1_10","KRI_LAGOON",1,1,1,NA,3,0.989093569113062,""
