sum.taxonomy,AER_PERANG,Anitas_Garden,BATU_ANGUS,BATU_MERAH,BENTENG,CALIFORDIA_DREAMING,CAPE_KRI,CORAL_CANYON,JABOI,KABUI_STRAIT_I,KABUI_STRAIT_II,KABUI_STRAIT_III,KAMPUNG_PAUDEAN,KRI_LAGOON,MELISSAS_GARDEN,PANTAI_LABUHAN,PANTAI_PARIGI,PELATAK,PULAU_ABANG_BESAR,PULAU_ABANG_KECIL,PULAU_PETONG,PULAU_PUTUS,PULAU_SEULAKO,RUBIAH_SEA_GARDEN,SARDINE_REEF,SECRET_LAGOON,SHIP_WRECK,SNAPPER_POINT,SUMUR_TIGA,TANJUNG_KUSU_KUSU,TANJUNG_LAMPU,TELUK_KEMBAHU,TERNATE_1,TERNATE_2,TERNATE_3,WAKATOBI_1,WAKATOBI_2,WAKATOBI_3,WEST_MANSUAR
Eukaryota;Chordata;Actinopteri;;;;,0,0,0,0,0,0,0,0.6358119630150171,0.03239163612911957,0,0,4.406322562740722e-4,0,0.049034702048472864,0,0,0.05542155535114186,1,0.01742543472683214,0.011443007747044147,0.011991936574748166,0,0,0.1980148507088533,0,0,0.418725155410022,0.0031510267892956544,0,0,0,0,0.013539860157014161,0,0,0.005475519521213137,0.0023694242430127334,0.002204825552825048,0
Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates calcarifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34625983916581415,1,0.8752974565982317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09899779814272022,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Centropyge;,0,0,0,0,0.0159134620879635,0,0,0,0,0,0.03431237090715874,0.034337293034568485,0,0,0,0,0,0,0,0,0,0,0.03195314254325329,0,0,0,0,0,0.022306334678251476,0,0,0,5.914148050818492e-4,0.4559035688725789,0.5597470193905083,1,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Chaetodontoplus;Chaetodontoplus mesoleucus,0,0,0,0,0,0,0,0,0,0.05726995742068402,0,0,0,1,0,0,0,0,0.3173630807715222,0.22844751290994064,0.22119139353982048,0,0,0,0,0,0,0,0,0.55690682384924,0,0,0.6446836292724148,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Pygoplites;Pygoplites diacanthus,0,0,0,0,0,0,0,0,0,0,0.04787968353692916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12741411235597644,1,0,0,0,0,0,0,0,0,0.2629086756594836,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;;,0.22335665962767334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5396288350750142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;,0,0,0.02832530141067078,0,0,0,0,0,0.2028854392865947,0.011362944514430103,0.029121329080290567,0,0.016917237727162335,0.02278734140469326,0.019918807230938654,0,0.05571866931369855,0,0,0,0,0,0.38180619035907765,0.072281948119582,0.07775652673879402,0.04134673451844577,0.03929831440938191,0.5908936708019241,0.15299292090590993,0.1439077961898749,0.09037834374484396,1,0.022044237516121976,0,0,0.003534404370317087,0.41213707604221067,0.15151282441979746,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;Abudefduf bengalensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5418364738145973,0.6329181817824008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163228905603715,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;Abudefduf vaigiensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8832439640508275,0.1145354666171205,0,0,0,0,0,0,0,0,0
