sum.taxonomy,AER_PERANG,Anitas_Garden,BATU_ANGUS,BATU_MERAH,BENTENG,CALIFORDIA_DREAMING,CAPE_KRI,CORAL_CANYON,JABOI,KABUI_STRAIT_I,KABUI_STRAIT_II,KABUI_STRAIT_III,KAMPUNG_PAUDEAN,KRI_LAGOON,MELISSAS_GARDEN,PANTAI_LABUHAN,PANTAI_PARIGI,PELATAK,PULAU_ABANG_BESAR,PULAU_ABANG_KECIL,PULAU_PETONG,PULAU_PUTUS,PULAU_SEULAKO,RUBIAH_SEA_GARDEN,SARDINE_REEF,SECRET_LAGOON,SHIP_WRECK,SNAPPER_POINT,SUMUR_TIGA,TANJUNG_KUSU_KUSU,TANJUNG_LAMPU,TELUK_KEMBAHU,TERNATE_1,TERNATE_2,TERNATE_3,WAKATOBI_1,WAKATOBI_2,WAKATOBI_3,WEST_MANSUAR
Eukaryota;Chordata;Actinopteri;;;;,0,0,0,0,0,0,0,1562,88,0,0,3,0,627,0,0,86,5026,174,76,93,0,0,552,0,0,4737,14,0,0,0,0,241,0,0,21,18,42,0
Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates calcarifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,680,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Centropyge;,0,0,0,0,147,0,0,0,0,0,264,533,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,1173,0,0,0,4,10182,4352,8744,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Chaetodontoplus;Chaetodontoplus mesoleucus,0,0,0,0,0,0,0,0,0,277,0,0,0,4152,0,0,0,0,2058,1478,1114,0,0,0,0,0,0,0,0,777,0,0,1242,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Pygoplites;Pygoplites diacanthus,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,340,2716,0,0,0,0,0,0,0,0,910,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;;,582,0,0,0,0,0,0,0,0,10638,0,0,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;,0,0,356,0,0,0,0,0,6018,462,1073,0,1723,1193,298,0,236,0,0,0,0,0,9270,550,2232,604,2427,7166,14448,8439,11483,11260,357,0,0,74,8546,7878,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;Abudefduf bengalensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,860,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;Abudefduf vaigiensis,0,0,0,0,0,0,0,0,3395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243,205,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Amblyglyphidodon;,806,23,26300,29484,0,12396,0,0,0,0,0,0,1762,328,975,0,6,612,0,0,0,0,0,0,0,904,0,4879,0,27641,11436,7719,125634,536,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Amphiprion;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6793,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Amphiprion;Amphiprion clarkii,962,0,0,2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0
