AG_1,AG_2,AG_3,AP_1,AP_2,AP_3,BA_1,BA_2,BA_3,BM_1,BM_1_star,BM_2,BM_3,BTM01_1,BTM01_2,BTM01_3,BTM01_4,BTM02_1,BTM02_2,BTM02_3,BTM03_1,BTM03_2,BTM03_3,CC_1,CC_2,CC_3,CD_1,CD_2,CD_3,CK_1,CK_2,CK_3,KL_1,KL_2,KL_3,KPP_1,KPP_2,KPP_3,KS_S01_1,KS_S01_2,KS_S01_3,KS_S02_1,KS_S02_2,KS_S02_3,KS_S03_1,KS_S03_2,KS_S03_3,MG_1,MG_2,MG_3,PL_1,PL_2,PL_3,PLK_1,PLK_2,PLK_3,PP_1,PP_2,PP_3,PPG_1,PPG_2,PPG_3,SB_01_1,SB_01_2,SB_01_3,SB_02_1,SB_02_2,SB_02_3,SB_03_1,SB_03_2,SB_03_3,SB_04_1,SB_04_2,SB_04_3,SB_05_1,SB_05_2,SB_05_3,SL_1,SL_2,SL_3,SP_1,SP_1_star,SP_2,SP_3,SR_1,SR_2,SR_3,SW_1,SW_2,SW_3,TK_1,TK_2,TK_3,TKS_1,TKS_2,TKS_3,TL_1,TL_2,TL_3,TTE_1_1,TTE_1_2,TTE_1_3,TTE_2_1,TTE_2_2,TTE_2_3,TTE_3_1,TTE_3_2,TTE_3_3,WKTB_01_1,WKTB_01_2,WKTB_2_1,WKTB_2_2,WKTB_2_3,WKTB_3_1,WKTB_3_2,WKTB_3_3,WM_1,WM_2,WM_3,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0.409064761879954,0.8142621238211679,1,0.244024205231392,0.27816522120545323,0.2729130884144508,0.4162150091982027,0.7216815273114461,0.8140644135069683,0.25973193765107205,0,0,0,0,0,0,0,0,0,0,0,0,0.0018804299997103307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22691244689777681,0.016601867729846283,0,0,0,0,0,0.23747626860033202,0.023376224237287243,0,0,0,0,0,0,0,0.07500153242372663,0,0,0,0,0,0,0,0,0,0.01773367007413396,0.0030981236629467044,0.01226244741879562,0.015367654816382258,0.0012845084081823754,0,0.0036712380785943292,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus fuscescens
0,0,0,0.2809546393015847,0,0,0,0,0,0,0,0,0,0,9.940044089245374e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40381290602544956,0.007397914145910859,0.24485329634894312,0.8870308130310853,0.11307273049829322,0,0.05221307524875622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08367775280665064,0,0,0,0,0,0,0.07759212780367317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hemiglyphidodon;Hemiglyphidodon plagiometopon
0.04593122569678102,0,0,0,0,0,0,0,0,0,0,0.01143656679781567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14880381957966718,0.21385092654602159,0.23801836288714048,0,0,0,0,0,0,0.04648053174165835,0.2626972213451533,0.7050367833445746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2667016305764034,0.01689919588460206,0,0,0,0,0,0,0,0.03259955737344347,0.49300178997475813,0.11113367318668821,0.030387622557180007,0.6651669629991235,0,0,0,0,0,0,0,0.30430016129247656,0,0,0,0,0,0,0,0,0,0.0812171315104601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02217529660345582,0,0,0,0.1085353972389506,0,0,0,0,1,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Pseudanthias;Pseudanthias squamipinnis
0,0,0,0,0,0,0,0,0,0,0,0,0,0.002022173920077194,0,0,0,0,0,0.0019175588279981815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041186343398265456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2903039286338498,0,0,1,0,0,0,0,0.013288673759709161,0,0,0,0,0.004150443878072233,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;
0.1997456738307558,0.16182084226973853,1,0.25713877634956783,0.05749331294529146,0.3024792068167868,0.15315857259634835,0.08318333882539182,0.041004856710597774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3594598616716074,0,0,0,0,0,0.06679267681176844,0,0,0,0,0,0,0.02936186601258417,0,0,0,0,0,0.15279360756512503,0.1551739561219246,0.18212228877033615,0.08023020875666896,0,0,0,0,0,0,0.5296089883704904,0.21735301632626539,0.5883380032248894,0,0,0,0,0,0,0,0,0,0,0.10380229059552114,0,0,0,0,0,0,0,0.24431738513184448,0.16950605568745844,0.10178977062066012,0,0,0,0,0,0,0,0.015614632986150371,0,0,0,0,0,0,0,0,0,0,0,0.07538631821936781,0.10944713827889829,0.08222112012335878,0.21712334733914662,0,0.32343413808718935,0.02058592010121774,0,0,0.07023382694582136,0,0,0,0,0.10275782706362269,0,0,0.02270755191915252,0.11933684184704167,0,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis ternatensis
0.14893468900061904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039213236889541675,0.20081220747189207,0,0,0.2679344869482485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05418912658563104,0,0,0,0,0,0,0,0.3623941194433872,0,0.2005835801022786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;Atherinomorus lacunosus
0,0,0,0,0,0.6082819479436383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8928615583242145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9639221454919862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03392920018485089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1564038019419976,0,0,0,0,0,0.250759163902982,0,0,0,0,0,0,0,0,0,0,0.005276371408709973,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus
0,0,0,0,0,0.05867305725507283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15999702837031518,0,0,0,2.2540228561117358e-4,0.23365759715066284,0,0,0,0,0,1,0.0018050887653512063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster solandri
0,0,0,0,0,0,0,0.6383100441585541,0,0,0,0.01062175760443133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2163685682872085,0,0,0,0.43257870930236675,0,0,1,0,0.3444883564048079,0,0,0,0,0,0,0,0,0,0,0.038019739910210903,0.024174995836450816,0,0,0,0,0,0,0,0,0.5383441160011553,0,0,0,0,0,0,0,0.04564646051461149,0,0.22524901814282722,0,0,0.14566142854473604,0,0,0,0,0,0,0.4902693142411965,0,0,0,0,0,0,0,0,0.027546026345624832,0.06569824320821285,0,0,0,0,0,0,0,0,0,0,0,0,0.10007837264379468,0,0.09920238837328746,0,0,0,0,0,0.1772391944094768,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lituratus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45560081525686796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon unicolor
