seq_number,AER_PERANG,Anitas_Garden,BATU_ANGUS,BATU_MERAH,BENTENG,CALIFORDIA_DREAMING,CAPE_KRI,CORAL_CANYON,JABOI,KABUI_STRAIT_I,KABUI_STRAIT_II,KABUI_STRAIT_III,KAMPUNG_PAUDEAN,KRI_LAGOON,MELISSAS_GARDEN,PANTAI_LABUHAN,PANTAI_PARIGI,PELATAK,PULAU_ABANG_BESAR,PULAU_ABANG_KECIL,PULAU_PETONG,PULAU_PUTUS,PULAU_SEULAKO,RUBIAH_SEA_GARDEN,SARDINE_REEF,SECRET_LAGOON,SHIP_WRECK,SNAPPER_POINT,SUMUR_TIGA,TANJUNG_KUSU_KUSU,TANJUNG_LAMPU,TELUK_KEMBAHU,TERNATE_1,TERNATE_2,TERNATE_3,WAKATOBI_1,WAKATOBI_2,WAKATOBI_3,WEST_MANSUAR,sum.taxonomy,number
merged_bio_12S_miu_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72972,0,62221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603,197,0,Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus fuscescens,taxon_1
merged_bio_12S_miu_10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13306,106706,0,436,6,22233,1549,0,0,0,0,2711,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar,taxon_10
merged_bio_12S_miu_100,0,0,0,0,0,0,0,9387,0,0,0,0,0,0,2599,0,0,0,0,0,0,0,0,0,0,0,0,1694,968,0,0,0,0,2596,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio lunaris,taxon_80
merged_bio_12S_miu_1000,0,0,0,0,0,47,121,0,51,0,73,50,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,35,45,0,0,0,0,0,0,0,0,0,0,,taxon_26
merged_bio_12S_miu_1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Eviota;Eviota punctulata,taxon_430
merged_bio_12S_miu_1002,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Bothus;Bothus pantherinus,taxon_529
merged_bio_12S_miu_1003,0,8,0,0,46,0,46,53,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,35,0,44,65,8,0,0,0,0,35,29,0,7,51,0,,taxon_26
merged_bio_12S_miu_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus thompsoni,taxon_127
merged_bio_12S_miu_1005,0,0,43,20,0,0,0,0,70,0,33,127,0,0,28,0,0,0,0,0,0,13,0,32,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,,taxon_26
merged_bio_12S_miu_1006,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Plesiopidae;Plesiops;Plesiops oxycephalus,taxon_322
merged_bio_12S_miu_1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx melampygus,taxon_79
