sum.taxonomy,AER_PERANG,Anitas_Garden,BATU_ANGUS,BATU_MERAH,BENTENG,CALIFORDIA_DREAMING,CAPE_KRI,CORAL_CANYON,JABOI,KABUI_STRAIT_I,KABUI_STRAIT_II,KABUI_STRAIT_III,KAMPUNG_PAUDEAN,KRI_LAGOON,MELISSAS_GARDEN,PANTAI_LABUHAN,PANTAI_PARIGI,PELATAK,PULAU_ABANG_BESAR,PULAU_ABANG_KECIL,PULAU_PETONG,PULAU_PUTUS,PULAU_SEULAKO,RUBIAH_SEA_GARDEN,SARDINE_REEF,SECRET_LAGOON,SHIP_WRECK,SNAPPER_POINT,SUMUR_TIGA,TANJUNG_KUSU_KUSU,TANJUNG_LAMPU,TELUK_KEMBAHU,TERNATE_1,TERNATE_2,TERNATE_3,WAKATOBI_1,WAKATOBI_2,WAKATOBI_3,WEST_MANSUAR
,0.07398751665044018,0.03907270645282335,0.05625414953906511,0.044174773291039235,0.040173589208847116,0.12332062320032985,0.12749076682578941,0.07372304473904814,0.07441148047214945,0.022816369011754906,0.054464131657146135,0.11612239998283934,0.021619926482328883,0.016320134842009105,0.07409392130409237,0.0880442352006116,0.21266376303210635,0.01905983158490083,1,0,0.03396903401405077,0.0650303064642324,0.07251112032302906,0.05526296957469675,0.14698021845352924,0.034191235147458775,0.037029440757130105,0.0826265754844517,0.021897972401249518,0.03473664913603489,0.03691707716602079,0.08224185002722582,0.015133053009473223,0.016507927265200412,0.017664658001085583,0.037029438909042575,0.010752691249653414,0.02576438543780576,0.03486887822282578
Eukaryota;Chordata;Actinopteri;;;;,0,0,0,0,0,0,0,0.6158306903556943,0,0,0,0.0012836178324329213,0,0.004777581987714796,0,0,0.12106532055470366,1,0.01841098294706167,0.012081775775732401,0.006710762675759676,0,0,0.18372668319875127,0,0,0.7249724176113675,0,0,0,0,0,0.014623116157387255,0,0,0.006999416018307317,0,0.0028910559620082456,0
Eukaryota;Chordata;Actinopteri;;Ambassidae;Ambassis;Ambassis urotaenia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates calcarifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17352961141151957,1,0.27463051545491457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1369667698404555,0,0
Eukaryota;Chordata;Actinopteri;;Opistognathidae;Opistognathus;,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24884428944935777,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Plesiopidae;Plesiops;,0,0,1,0.5934133231891099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Centropyge;,0,0,0,0,0.004083123435839827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004087867347188015,0,0,0,0,0,0.014627536148813874,0,0,0,2.9342486864292953e-4,0.5280808054628621,0.30641278593463084,1,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Chaetodontoplus;Chaetodontoplus mesoleucus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15221342316632588,0.10162916977819476,0.08441546741006042,0,0,0,0,0,0,0,0,0,0,0,0.2921825601835786,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Pygoplites;Pygoplites diacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;;,0.25886188377550173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Abudefduf;,0,0,0,0,0,0,0,0,1,0.02962835117180534,0.09479861378456461,0,0.0569324842582706,0,0,0,0.2834540076463099,0,0,0,0,0,0.09399434534377743,0,0.7513233187957704,0,0.1584554471359937,0,0.5123574947386154,0.389104941551093,0.29986670571486806,0,0,0,0,0.010237509240904075,0.8754990638139278,0.44164070251138926,0
