bio_12S_miu_AG_1,bio_12S_miu_AG_2,bio_12S_miu_AG_3,bio_12S_miu_AP_1,bio_12S_miu_AP_2,bio_12S_miu_AP_3,bio_12S_miu_BA_1,bio_12S_miu_BA_2,bio_12S_miu_BA_3,bio_12S_miu_BM_1,bio_12S_miu_BM_1_star,bio_12S_miu_BM_2,bio_12S_miu_BM_3,bio_12S_miu_BTM01_1,bio_12S_miu_BTM01_2,bio_12S_miu_BTM01_3,bio_12S_miu_BTM01_4,bio_12S_miu_BTM02_1,bio_12S_miu_BTM02_2,bio_12S_miu_BTM02_3,bio_12S_miu_BTM03_1,bio_12S_miu_BTM03_2,bio_12S_miu_BTM03_3,bio_12S_miu_CC_1,bio_12S_miu_CC_2,bio_12S_miu_CC_3,bio_12S_miu_CD_1,bio_12S_miu_CD_2,bio_12S_miu_CD_3,bio_12S_miu_CK_1,bio_12S_miu_CK_2,bio_12S_miu_CK_3,bio_12S_miu_KL_2,bio_12S_miu_KL_3,bio_12S_miu_KPP_1,bio_12S_miu_KPP_2,bio_12S_miu_KPP_3,bio_12S_miu_KS_S01_1,bio_12S_miu_KS_S01_2,bio_12S_miu_KS_S01_3,bio_12S_miu_KS_S02_1,bio_12S_miu_KS_S02_2,bio_12S_miu_KS_S02_3,bio_12S_miu_KS_S03_1,bio_12S_miu_KS_S03_2,bio_12S_miu_KS_S03_3,bio_12S_miu_MG_1,bio_12S_miu_MG_2,bio_12S_miu_MG_3,bio_12S_miu_PL_1,bio_12S_miu_PL_2,bio_12S_miu_PL_3,bio_12S_miu_PLK_1,bio_12S_miu_PLK_2,bio_12S_miu_PLK_3,bio_12S_miu_PP_1,bio_12S_miu_PP_2,bio_12S_miu_PP_3,bio_12S_miu_PPG_1,bio_12S_miu_PPG_2,bio_12S_miu_SB_01_1,bio_12S_miu_SB_01_2,bio_12S_miu_SB_01_3,bio_12S_miu_SB_02_1,bio_12S_miu_SB_02_2,bio_12S_miu_SB_02_3,bio_12S_miu_SB_03_1,bio_12S_miu_SB_03_2,bio_12S_miu_SB_03_3,bio_12S_miu_SB_04_1,bio_12S_miu_SB_04_2,bio_12S_miu_SB_04_3,bio_12S_miu_SB_05_1,bio_12S_miu_SB_05_2,bio_12S_miu_SB_05_3,bio_12S_miu_SL_1,bio_12S_miu_SL_2,bio_12S_miu_SL_3,bio_12S_miu_SP_1,bio_12S_miu_SP_1_star,bio_12S_miu_SP_2,bio_12S_miu_SP_3,bio_12S_miu_SR_1,bio_12S_miu_SR_2,bio_12S_miu_SR_3,bio_12S_miu_SW_1,bio_12S_miu_SW_2,bio_12S_miu_SW_3,bio_12S_miu_TK_1,bio_12S_miu_TK_2,bio_12S_miu_TK_3,bio_12S_miu_TKS_1,bio_12S_miu_TKS_2,bio_12S_miu_TKS_3,bio_12S_miu_TL_1,bio_12S_miu_TL_2,bio_12S_miu_TL_3,bio_12S_miu_TTE_1_1,bio_12S_miu_TTE_1_2,bio_12S_miu_TTE_1_3,bio_12S_miu_TTE_2_1,bio_12S_miu_TTE_2_3,bio_12S_miu_TTE_3_1,bio_12S_miu_TTE_3_3,bio_12S_miu_WKTB_01_1,bio_12S_miu_WKTB_01_2,bio_12S_miu_WKTB_2_1,bio_12S_miu_WKTB_2_2,bio_12S_miu_WKTB_2_3,bio_12S_miu_WKTB_3_1,bio_12S_miu_WKTB_3_2,bio_12S_miu_WKTB_3_3,bio_12S_miu_WM_1,bio_12S_miu_WM_2,bio_12S_miu_WM_3,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5653455218549068,0.12325253302552264,0,0,0,0,0.5041874615437205,0.5914184499710815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975061595694932,0.009004838420643929,0,0,0.0033885477406814936,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus fuscescens
0,0,3.4700220270963457e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04464105593821147,0,0,0.7095977994201175,0,0,0,0.0851103937416056,0.4136033074317593,0,0,0.034962449451184284,0,0,0.46301112434772396,0,0,0,0,0,2.3013194231359313e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04289650786921732,0,0,0,0,0,0,0.0022176094618003702,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar
0,0,0,0.013347647164072284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03882331243083733,0.10194170614091239,0.013408543022358076,0,0.007000406231400742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007621759705180284,0,0,0,0,0,0,0.009143429725540542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hemiglyphidodon;Hemiglyphidodon plagiometopon
0.01344141488577745,0,0,0,0,0,0,0,0,0,0,0.0017490216803191022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006808377942934359,0.038445097691058194,0.11539445492628954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004736240405030214,0.026929671128968012,0.0044213398732318955,0.004477014067249464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012492495926360024,0,0,0,0,0,0,0,0,0,0,0,0,5.309793249925331e-4,0,0,0,0,0,0,0,0,0.07826634604374212,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Pseudanthias;Pseudanthias squamipinnis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.960263224500126e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006891072693045025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032535214452056344,0,0.1294435857805255,0,0,0,0,0,0,0,0,6.536284982025216e-4,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;
0.005158437730287398,0.003601358114340667,0.010591110708789717,0.003345857935229916,0.001294139397300795,0.005058876342415138,0.002966143358133132,0.0015962245818585607,0.0012350761630300535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004767619109395777,0,0,0,0,0.0019734415344891186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020659009406995476,0.0017690269036768139,0.001966678392120495,0,0,0,0,0,0,0.009445958219800182,0.003441720204536515,0.01005232419288304,0,0,0,0,0,0,0,0,0,0.0025350902320252075,0,0,0,0,0,0,0,0.003650802612017539,0.005832793259883344,0.0016637781629116118,0,0,0,0,0,0,0,3.701083111086921e-4,0,0,0,0,0,0,0,0,0,0,0,7.470826422818892e-4,0.002403281614504235,0.0021026928033643084,0.0062132372423295,0.0045605222484340685,4.036803061679205e-4,0,0.0013113698062853724,0,0,0,0,0.0026685295144952847,0,0,6.390336808340016e-4,0.0023231064735503297,0,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis ternatensis
0,0,0,0,0,0,0,0,0.035627197010482316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024760501105379515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004640504153537668,0,0,0,0,0,0,0,0.017877641656786916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;Atherinomorus lacunosus
0,0,0,0,0,0.028782071204116164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03586546161766388,0,0.045978212207133266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05123366738551313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008964744418584605,0,0,0,0,0,0.029812739272783967,0,0,0,0,0,0,0,0,0.0010287724421730328,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus
0,0,0,0,0,0.005317863185883491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014168053599624461,0,0,0,2.4563989191844757e-5,0.020360520301109238,0,0,0,0,0,0.0964026049333155,1.7126392778706856e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster solandri
0,0,0,0,0,0,0,0.057030328267055314,0,0,0,0.001472198105016798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014510162834153224,0,0,0,0,0,0.17879011434894873,0,0.046063308491026835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05810302322563903,0,0,0,0,0,0,0,0,0.03295225285810356,0,0,0.021526783156688628,0,0,0,0,0,0,0.04530284917314206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021605630014792238,0,0.008455990413529584,0,0,0,0.023734984857249803,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lituratus
