AG_1,AG_2,AG_3,AP_1,AP_2,AP_3,BA_1,BA_2,BA_3,BM_1,BM_1_star,BM_2,BM_3,BTM01_1,BTM01_2,BTM01_3,BTM01_4,BTM02_1,BTM02_2,BTM02_3,BTM03_1,BTM03_2,BTM03_3,CC_1,CC_2,CC_3,CD_1,CD_2,CD_3,CK_1,CK_2,CK_3,KL_1,KL_2,KL_3,KPP_1,KPP_2,KPP_3,KS_S01_1,KS_S01_2,KS_S01_3,KS_S02_1,KS_S02_2,KS_S02_3,KS_S03_1,KS_S03_2,KS_S03_3,MG_1,MG_2,MG_3,PL_1,PL_2,PL_3,PLK_1,PLK_2,PLK_3,PP_1,PP_2,PP_3,PPG_1,PPG_2,PPG_3,SB_01_1,SB_01_2,SB_01_3,SB_02_1,SB_02_2,SB_02_3,SB_03_1,SB_03_2,SB_03_3,SB_04_1,SB_04_2,SB_04_3,SB_05_1,SB_05_2,SB_05_3,SL_1,SL_2,SL_3,SP_1,SP_1_star,SP_2,SP_3,SR_1,SR_2,SR_3,SW_1,SW_2,SW_3,TK_1,TK_2,TK_3,TKS_1,TKS_2,TKS_3,TL_1,TL_2,TL_3,TTE_1_1,TTE_1_2,TTE_1_3,TTE_2_1,TTE_2_2,TTE_2_3,TTE_3_1,TTE_3_2,TTE_3_3,Undetermined,WKTB_01_1,WKTB_01_2,WKTB_2_1,WKTB_2_2,WKTB_2_3,WKTB_3_1,WKTB_3_2,WKTB_3_3,WM_1,WM_2,WM_3,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9559145844749186,0.20840156919614072,0,0,0,0,0.8525054664229256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016486830868103784,0.015225832777256504,0,0,0.005729526599731853,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus fuscescens
0,0,4.890125124305689e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06291036411709858,0,0,1,0,0,0,0.11994173856113663,0.5828700536694948,0,0,0.04927079745703208,0,0,0.6524979710000456,0,0,0,0,0,3.243132130647202e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06045186146895085,0,0,0,0,0,0,0,0,0,0.0031251639500750965,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar
0,0,0,0.1309341158722814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38083836243796515,1,0.13153147548682048,0,0.0686706795128992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07476586368531882,0,0,0,0,0,0,0.08969272804696564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hemiglyphidodon;Hemiglyphidodon plagiometopon
0.11648232919305712,0,0,0,0,0,0,0,0,0,0,0.015156895376266771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059000910808784904,0.3331624358866789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04104391678140497,0.2333705822014573,0.03831501154935142,0.0387974800878365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10825906612531642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004601428425063462,0,0,0,0,0,0,0,0,0.6782504938710987,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Pseudanthias;Pseudanthias squamipinnis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005377063052240695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532361078495538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25134667164752783,0,0,1,0,0,0,0,0,0,0,0,0,0,0.005049524039845152,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;
0.4870535180041443,0.340035923838644,1,0.31591190265371694,0.1221910933502725,0.4776530508945302,0.2800597066435616,0.15071361500676514,0.11661441344438463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4501528914657705,0,0,0,0,0,0.18632998830342984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19505989480263164,0.16702940346083558,0.18569142049363338,0,0,0,0,0,0,0.8918760722575437,0.3249631034146571,0.9491284218699055,0,0,0,0,0,0,0,0,0,0,0.2393601862665168,0,0,0,0,0,0,0,0.344704414144938,0.550725360187447,0.15709194329644935,0,0,0,0,0,0,0,0.034945183870236936,0,0,0,0,0,0,0,0,0,0,0,0.07053864913921393,0.22691497431989985,0.1985337384509873,0.5866464257778973,0,0.43059905366197565,0.038115011472111264,0,0,0,0.1238179679490129,0,0,0,0,0.2519593636464052,0,0,0.06033679548865996,0.2193449334470982,0,Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis ternatensis
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6949887496929501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13025173302778573,0,0,0,0,0,0,0,0.5017975916412093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;Atherinomorus lacunosus
0,0,0,0,0,0.5617804204321825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7000369766191132,0,0.8974218429683232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17497760508004317,0,0,0,0,0,0.5818974278857468,0,0,0,0,0,0,0,0,0,0,0,0.0200800078282885,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Arothron;Arothron hispidus
0,0,0,0,0,0.055163065246649844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14696753899362905,0,0,0,2.548062804821134e-4,0.21120300966133856,0,0,0,0,0,1,0.001776548755145536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster solandri
0,0,0,0,0,0,0,0.3189792034907921,0,0,0,0.008234225423355765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08115752309343797,0,0,0,0,0,0,1,0,0.25763901241834897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32497894772995134,0,0,0,0,0,0,0,0,0,0.1843069063303461,0,0,0.12040253587328836,0,0,0,0,0,0,0.25338564907858085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1208435382094115,0,0.04729562618336848,0,0,0,0,0,0.13275334010316528,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lituratus
