sum.taxonomy,AER_PERANG,Anitas_Garden,BATU_ANGUS,BATU_MERAH,BENTENG,CALIFORDIA_DREAMING,CAPE_KRI,CORAL_CANYON,JABOI,KABUI_STRAIT_I,KABUI_STRAIT_II,KABUI_STRAIT_III,KAMPUNG_PAUDEAN,KRI_LAGOON,MELISSAS_GARDEN,PANTAI_LABUHAN,PANTAI_PARIGI,PELATAK,PULAU_ABANG_BESAR,PULAU_ABANG_KECIL,PULAU_PETONG,PULAU_PUTUS,PULAU_SEULAKO,RUBIAH_SEA_GARDEN,SARDINE_REEF,SECRET_LAGOON,SHIP_WRECK,SNAPPER_POINT,SUMUR_TIGA,TANJUNG_KUSU_KUSU,TANJUNG_LAMPU,TELUK_KEMBAHU,TERNATE_1,TERNATE_2,TERNATE_3,WAKATOBI_1,WAKATOBI_2,WAKATOBI_3,WEST_MANSUAR
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;;,0.4090480330095524,0.2678956728701495,0.27659609162626153,0.30772329971698,0.17291048177737925,0.4311636701660881,0.2730756178029771,0.302953955466585,0.2472704820379678,0.3603090681020507,0.26143440527285106,0.44258903168242913,0.2626395289295624,0.30188719372457024,0.5207579287135882,0.3876005130540853,1,0.2386321735399125,0.5040811907607079,0.49104285469545894,0.8155053937395165,0.2010571090243808,0.251839684250496,0.2388438559041467,0.2857717890015553,0.3823278893175784,0.18268408351959461,0.34430166074028695,0.15066483126291405,0.36414581268737783,0.403051705370735,0.22823909642992274,0,0.06320521175180904,0.12339602347027957,0.2779957535738027,0.35262619404041423,0.09639970883392793,0.2682852900693457
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321,0.234137665152966,0.10599239245664,0.39028298512668946,0.4841992917918007,0.1794931381652187,0.24204939927215585,0.23787701461599886,0.212162415754829,0.22442671528858932,0.07700984027782146,0.24516113113562252,0.15451107942856274,0.1735345543957502,0.2126118448554572,0.20457821434498677,0.4659153329582404,1,0.13479409481272386,0.25745686034975,0.17173168834808192,0.13205506561286026,0.38994602468259815,0.1516662045964491,0.3576952107034302,0.13447160984535575,0.1657907564339047,0.09631176839568407,0.26775934016625696,0.0635426146967243,0.3818439411846421,0.40060064525477923,0.5837911444959348,0.11574802883215722,0.061694662154644246,0.17629850423338647,0.23193154182544048,0.10712836574757384,0.12502477974819678,0.1730351137897676
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39,0.9341210855201445,0.23053202069404963,0.42493238230660335,0.2603365328085277,0.2823995619290543,0.7398736592807535,0.49573047528703656,1,0,0.2771933866661302,0,0.177001875103942,0.33171776320141266,0.5101842875133059,0.5058954223578396,0.26333423603581413,0.9440534739219524,0.39859471133839236,0,0.20518425921958278,0.3878190726847818,0.37828524566225646,0,0,0.49360139266106956,0.3717958897565472,0.22157761019609173,0.4040830151885539,0.22506190904112855,0.259041982109411,0.3787958992936811,0.21810597994021963,0.05210810150382063,0.13128502864478286,0.1807215669471954,0.7214398449655234,0.4280733653330087,0.18222362316763943,0.2623604223068796
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS40,0.5639738202955379,0.28244820485971,0.44348444183358265,0.612846763255521,0.1087764121726786,0.4916436021877531,0.5191614196792514,0.4858916974973276,0,0.33736184418591675,0.3644868648480147,0.36550855137745547,0.29379714810666047,0.4235856024910549,0.3994225865938115,0.507163559364964,1,0.11514988456662514,0.4718941883203597,0.7067910563238812,0.9739602466083104,0.5928899976343955,0.4410571246765693,0.5209018256517461,0.3287164811306818,0.4414257477665487,0.5002613127738718,0.8007449708867854,0.08669073993952595,0.43712877776038106,0.3471502429068886,0.4735188681445554,0.02007132124425653,0.06549912888022213,0.025313255407539564,0.16673320042927997,0.19895699679495704,0.08656769588187047,0.2733367798541617
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique,0.8650260731374824,0.2934111747586575,0.14387934820230056,0.3139980754611247,0,0.8404088503089427,0.789451305610612,0.40881689508279145,0.09308373375235889,0.3506282997391629,0,0.3497513351790187,0.5073900759075217,0.6972878968646753,0.672588315831259,0.6693499885534371,1,0,0,0.5083392098384106,0,0,0.3227943102515105,0.6105908942239487,0.6516464716247924,0.5670087913398753,0,0.18295274732623412,0,0.2362522009001917,0.6035763475959325,0,0,0.15901384503342575,0.10360774306341777,0.08846481607617265,0.3474966632072305,0.3255946525186127,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,0.34697248275767273,0.1456077199368702,0.5051262478101587,0.36328299521609186,0.3804731416682304,0.3148939067142661,0.29950545157533953,0.29085427573872086,0.4402735172436078,0.12285969800826337,0.21885195843494848,0.21283057055477103,0.2513631896866005,0.24749603494805222,0.27620556985389366,0.41331045471332745,1,0.182706568471464,0.18544509939007553,0.23863166758876939,0.2488872695898227,0.4406926406487085,0.31482014165379923,0.28991181430030993,0.2446675029325914,0.26093920634634443,0.18936191083776646,0.26485025014733876,0.22434812989896186,0.3914564825742081,0.4721973036223738,0.3193012866905351,0.19795447448541165,0.14690279146087207,0.24975674822523103,0.4827999912148375,0.23119760033275263,0.24892712631538486,0.25686238319842275
Eukaryota;;;;;;,0.3254190480391381,0.14782769941841917,0.20282063556245117,0.2259140168469975,0.20442655958512446,0.34029802237800233,0.29225282698345556,0.3406403141106405,0.30221498145660564,0.09914612433184881,0.08474521324858848,0.05167070137676825,0.16295999648641882,0.15707867517145413,0.13826828765457924,0.3288562565182963,0.5639677396735581,0.206333183878321,0.6694038094528711,1,0.6798236568397649,0.2767305708076909,0.2255845016796945,0.14829322229937927,0.23040564577578346,0.13028779936077964,0.19421881545288142,0.2260425592401847,0.1012722882881184,0.29477488570295357,0.3168755509320805,0.2347150577409267,0.18920996749644106,0.2741322356078114,0.2680734544268804,0.23398272934345146,0.1517039119231124,0.1355892873122227,0.21699630564745398
Eukaryota;;;;Paramoebidae;Cunea;Cunea profundata,0,0,0,0,0,0,0,1,0,0.2633337173328237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1602187113330032,0,0,0,0,0,0,0,0,0,0.23650294439320127,0,0
Eukaryota;;;;Vannellidae;Ripella;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46164660666531737,0,0
Eukaryota;;;;Vannellidae;Vannella;Vannella sp.,0,0,0,0,0,0,0,0,0,0.4253629611248498,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
