sum.taxonomy,AER_PERANG,Anitas_Garden,BATU_ANGUS,BATU_MERAH,BENTENG,CALIFORDIA_DREAMING,CAPE_KRI,CORAL_CANYON,JABOI,KABUI_STRAIT_I,KABUI_STRAIT_II,KABUI_STRAIT_III,KAMPUNG_PAUDEAN,KRI_LAGOON,MELISSAS_GARDEN,PANTAI_LABUHAN,PANTAI_PARIGI,PELATAK,PULAU_ABANG_BESAR,PULAU_ABANG_KECIL,PULAU_PETONG,PULAU_PUTUS,PULAU_SEULAKO,RUBIAH_SEA_GARDEN,SARDINE_REEF,SECRET_LAGOON,SHIP_WRECK,SNAPPER_POINT,SUMUR_TIGA,TANJUNG_KUSU_KUSU,TANJUNG_LAMPU,TELUK_KEMBAHU,TERNATE_1,TERNATE_2,TERNATE_3,WAKATOBI_1,WAKATOBI_2,WAKATOBI_3,WEST_MANSUAR
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;;,3156,911,495,736,100,1782,668,803,114,3400,621,1340,1776,641,1056,1227,692,440,504,513,982,354,226,256,877,803,425,848,246,678,763,235,0,86,115,118,494,216,548
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321,22346,4020,3116,3552,1042,13575,2596,5488,577,9888,866,4174,10034,3021,5398,4606,3859,462,957,667,1005,2042,759,1069,3452,2848,833,3126,405,4229,4511,1676,569,749,733,549,4352,1406,1971
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39,1027,256,149,61,32,699,297,779,0,410,0,35,293,283,201,98,128,48,0,14,61,87,0,0,371,153,101,195,36,63,281,44,9,35,33,120,470,160,70
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS40,2314,570,471,466,16,1292,323,737,0,2429,367,1032,1179,305,618,490,528,18,200,313,696,177,151,142,449,393,296,627,54,345,390,62,9,68,6,18,638,74,142
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique,2149,186,16,70,0,1295,180,101,8,1727,0,329,1066,276,339,237,43,0,0,33,0,0,81,122,466,296,0,42,0,82,355,0,0,121,18,7,363,204,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,14028,6279,2779,3005,1522,8752,5490,5999,1170,17642,3396,6438,7838,6664,7533,4525,3191,1424,570,479,1382,1789,2117,1612,7574,5265,1185,4888,1478,3641,3435,1137,1207,1613,805,945,4854,1929,2621
Eukaryota;;;;;;,3701,2434,1267,1734,639,3009,1449,5490,706,3034,204,229,3040,676,442,1266,791,1328,2487,2588,5715,1207,889,698,2508,493,2900,2821,391,1545,2972,898,1972,5166,3207,671,5169,1796,1098
Eukaryota;;;;Paramoebidae;Cunea;Cunea profundata,0,0,0,0,0,0,0,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0
Eukaryota;;;;Vannellidae;Ripella;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Eukaryota;;;;Vannellidae;Vannella;Vannella sp.,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
