CO1_AG_1,CO1_AG_2,CO1_AG_3,CO1_AP_1,CO1_AP_2,CO1_AP_3,CO1_BA_1,CO1_BA_2,CO1_BA_3,CO1_BM_1,CO1_BM_1_star,CO1_BM_2,CO1_BM_3,CO1_BTM01_1,CO1_BTM01_2,CO1_BTM01_4,CO1_BTM02_1,CO1_BTM02_2,CO1_BTM02_3,CO1_BTM03_1,CO1_BTM03_2,CO1_BTM03_3,CO1_CC_1,CO1_CC_2,CO1_CC_3,CO1_CD_1,CO1_CD_2,CO1_CD_3,CO1_CK_1,CO1_CK_2,CO1_CK_3,CO1_KL_1,CO1_KL_2,CO1_KL_3,CO1_KPP_1,CO1_KPP_2,CO1_KPP_3,CO1_KS_S01_1,CO1_KS_S01_2,CO1_KS_S01_3,CO1_KS_S02_1,CO1_KS_S02_2,CO1_KS_S02_3,CO1_KS_S03_1,CO1_KS_S03_2,CO1_KS_S03_3,CO1_MG_1,CO1_MG_2,CO1_MG_3,CO1_PL_1,CO1_PL_2,CO1_PL_3,CO1_PLK_1,CO1_PLK_2,CO1_PLK_3,CO1_PP_1,CO1_PP_2,CO1_PP_3,CO1_PPG_1,CO1_PPG_2,CO1_PPG_3,CO1_SB_01_1,CO1_SB_01_2,CO1_SB_01_3,CO1_SB_02_1,CO1_SB_02_2,CO1_SB_02_3,CO1_SB_03_1,CO1_SB_03_2,CO1_SB_03_3,CO1_SB_04_1,CO1_SB_04_2,CO1_SB_04_3,CO1_SB_05_1,CO1_SB_05_2,CO1_SB_05_3,CO1_SL_1,CO1_SL_2,CO1_SL_3,CO1_SP_1,CO1_SP_1_star,CO1_SP_2,CO1_SP_3,CO1_SR_1,CO1_SR_2,CO1_SR_3,CO1_SW_1,CO1_SW_2,CO1_SW_3,CO1_TK_1,CO1_TK_2,CO1_TK_3,CO1_TKS_1,CO1_TKS_2,CO1_TKS_3,CO1_TL_1,CO1_TL_2,CO1_TL_3,CO1_TTE_1_1,CO1_TTE_1_2,CO1_TTE_1_3,CO1_TTE_2_1,CO1_TTE_2_2,CO1_TTE_2_3,CO1_TTE_3_1,CO1_TTE_3_2,CO1_TTE_3_3,CO1_WKTB_01_1,CO1_WKTB_01_2,CO1_WKTB_2_1,CO1_WKTB_2_3,CO1_WKTB_3_1,CO1_WKTB_3_2,CO1_WKTB_3_3,CO1_WM_1,CO1_WM_2,CO1_WM_3,bio_12S_miu_AG_1,bio_12S_miu_AG_2,bio_12S_miu_AG_3,bio_12S_miu_AP_1,bio_12S_miu_AP_2,bio_12S_miu_AP_3,bio_12S_miu_BA_1,bio_12S_miu_BA_2,bio_12S_miu_BA_3,bio_12S_miu_BM_1,bio_12S_miu_BM_1_star,bio_12S_miu_BM_2,bio_12S_miu_BM_3,bio_12S_miu_BTM01_1,bio_12S_miu_BTM01_2,bio_12S_miu_BTM01_3,bio_12S_miu_BTM01_4,bio_12S_miu_BTM02_1,bio_12S_miu_BTM02_2,bio_12S_miu_BTM02_3,bio_12S_miu_BTM03_1,bio_12S_miu_BTM03_2,bio_12S_miu_BTM03_3,bio_12S_miu_CC_1,bio_12S_miu_CC_2,bio_12S_miu_CC_3,bio_12S_miu_CD_1,bio_12S_miu_CD_2,bio_12S_miu_CD_3,bio_12S_miu_CK_1,bio_12S_miu_CK_2,bio_12S_miu_CK_3,bio_12S_miu_KL_2,bio_12S_miu_KL_3,bio_12S_miu_KPP_1,bio_12S_miu_KPP_2,bio_12S_miu_KPP_3,bio_12S_miu_KS_S01_1,bio_12S_miu_KS_S01_2,bio_12S_miu_KS_S01_3,bio_12S_miu_KS_S02_1,bio_12S_miu_KS_S02_2,bio_12S_miu_KS_S02_3,bio_12S_miu_KS_S03_1,bio_12S_miu_KS_S03_2,bio_12S_miu_KS_S03_3,bio_12S_miu_MG_1,bio_12S_miu_MG_2,bio_12S_miu_MG_3,bio_12S_miu_PL_1,bio_12S_miu_PL_2,bio_12S_miu_PL_3,bio_12S_miu_PLK_1,bio_12S_miu_PLK_2,bio_12S_miu_PLK_3,bio_12S_miu_PP_1,bio_12S_miu_PP_2,bio_12S_miu_PP_3,bio_12S_miu_PPG_1,bio_12S_miu_PPG_2,bio_12S_miu_SB_01_1,bio_12S_miu_SB_01_2,bio_12S_miu_SB_01_3,bio_12S_miu_SB_02_1,bio_12S_miu_SB_02_2,bio_12S_miu_SB_02_3,bio_12S_miu_SB_03_1,bio_12S_miu_SB_03_2,bio_12S_miu_SB_03_3,bio_12S_miu_SB_04_1,bio_12S_miu_SB_04_2,bio_12S_miu_SB_04_3,bio_12S_miu_SB_05_1,bio_12S_miu_SB_05_2,bio_12S_miu_SB_05_3,bio_12S_miu_SL_1,bio_12S_miu_SL_2,bio_12S_miu_SL_3,bio_12S_miu_SP_1,bio_12S_miu_SP_1_star,bio_12S_miu_SP_2,bio_12S_miu_SP_3,bio_12S_miu_SR_1,bio_12S_miu_SR_2,bio_12S_miu_SR_3,bio_12S_miu_SW_1,bio_12S_miu_SW_2,bio_12S_miu_SW_3,bio_12S_miu_TK_1,bio_12S_miu_TK_2,bio_12S_miu_TK_3,bio_12S_miu_TKS_1,bio_12S_miu_TKS_2,bio_12S_miu_TKS_3,bio_12S_miu_TL_1,bio_12S_miu_TL_2,bio_12S_miu_TL_3,bio_12S_miu_TTE_1_1,bio_12S_miu_TTE_1_2,bio_12S_miu_TTE_1_3,bio_12S_miu_TTE_2_1,bio_12S_miu_TTE_2_3,bio_12S_miu_TTE_3_1,bio_12S_miu_TTE_3_3,bio_12S_miu_WKTB_01_1,bio_12S_miu_WKTB_01_2,bio_12S_miu_WKTB_2_1,bio_12S_miu_WKTB_2_2,bio_12S_miu_WKTB_2_3,bio_12S_miu_WKTB_3_1,bio_12S_miu_WKTB_3_2,bio_12S_miu_WKTB_3_3,bio_12S_miu_WM_1,bio_12S_miu_WM_2,bio_12S_miu_WM_3,bio_12S_elas_AG_1,bio_12S_elas_AG_2,bio_12S_elas_AG_3,bio_12S_elas_AP_1,bio_12S_elas_AP_2,bio_12S_elas_AP_3,bio_12S_elas_BA_1,bio_12S_elas_BA_2,bio_12S_elas_BA_3,bio_12S_elas_BM_1,bio_12S_elas_BM_2,bio_12S_elas_BM_3,bio_12S_elas_BTM01_1,bio_12S_elas_BTM01_2,bio_12S_elas_BTM01_3,bio_12S_elas_BTM01_4,bio_12S_elas_BTM02_1,bio_12S_elas_BTM02_2,bio_12S_elas_BTM02_3,bio_12S_elas_BTM03_1,bio_12S_elas_BTM03_2,bio_12S_elas_BTM03_3,bio_12S_elas_CK_1,bio_12S_elas_CK_2,bio_12S_elas_CK_3,bio_12S_elas_KL_1,bio_12S_elas_KL_2,bio_12S_elas_KL_3,bio_12S_elas_KPP_1,bio_12S_elas_KPP_2,bio_12S_elas_KPP_3,bio_12S_elas_KS_S01_1,bio_12S_elas_KS_S01_2,bio_12S_elas_KS_S01_3,bio_12S_elas_KS_S02_1,bio_12S_elas_KS_S02_2,bio_12S_elas_KS_S02_3,bio_12S_elas_KS_S03_1,bio_12S_elas_KS_S03_2,bio_12S_elas_KS_S03_3,bio_12S_elas_MG_1,bio_12S_elas_MG_2,bio_12S_elas_MG_3,bio_12S_elas_PL_1,bio_12S_elas_PPG_3,bio_12S_elas_SB_01_1,bio_12S_elas_SB_01_2,bio_12S_elas_SB_01_3,bio_12S_elas_SB_02_1,bio_12S_elas_SB_02_2,bio_12S_elas_SB_02_3,bio_12S_elas_SB_03_1,bio_12S_elas_SB_03_2,bio_12S_elas_SB_03_3,bio_12S_elas_SB_04_1,bio_12S_elas_SB_04_2,bio_12S_elas_SB_04_3,bio_12S_elas_SB_05_1,bio_12S_elas_SB_05_2,bio_12S_elas_SB_05_3,bio_12S_elas_SL_1,bio_12S_elas_SL_2,bio_12S_elas_SL_3,bio_12S_elas_SP_1,bio_12S_elas_SP_2,bio_12S_elas_SP_3,bio_12S_elas_SR_1,bio_12S_elas_SR_2,bio_12S_elas_SR_3,bio_12S_elas_SW_1,bio_12S_elas_SW_2,bio_12S_elas_SW_3,bio_12S_elas_TK_1,bio_12S_elas_TK_2,bio_12S_elas_TKS_2,bio_12S_elas_TKS_3,bio_12S_elas_TL_1,bio_12S_elas_TL_2,bio_12S_elas_TL_3,bio_12S_elas_TTE_1_1,bio_12S_elas_TTE_1_2,bio_12S_elas_TTE_1_3,bio_12S_elas_TTE_2_1,bio_12S_elas_TTE_2_2,bio_12S_elas_TTE_2_3,bio_12S_elas_TTE_3_1,bio_12S_elas_TTE_3_3,bio_12S_elas_WKTB_01_1,bio_12S_elas_WKTB_01_2,bio_12S_elas_WKTB_2_1,bio_12S_elas_WKTB_2_2,bio_12S_elas_WKTB_2_3,bio_12S_elas_WKTB_3_1,bio_12S_elas_WKTB_3_2,bio_12S_elas_WKTB_3_3,bio_12S_elas_WM_1,bio_12S_elas_WM_2,sum.taxonomy
0,0.011489274911800415,0.12482881600238283,0.4894337096796772,0.5420328676996339,0.5379768096801125,0.39533806230719065,0.42896697944148854,0.35070843117679107,0.3526061310094155,0.11926140311796436,0.40200728517478485,0.11877202541857906,0,0.035221420066659626,0.01368339527461173,0,0,0.008166975970112938,0.18987347151350434,0.11227388980025192,0.0660069368333771,0.45897701335056457,0.5112988386073871,0.4806622102146354,0.45081634246230173,0.375785300023538,0.590712866160116,0.10645958726761014,0,0.14707655035312997,0,0.18719108683538185,0.09070919930960802,0.29461414015211834,0.301459372607988,0.37844081124881374,0.4174088250101251,0.290746901630423,0.43617146281973196,0.20989766708018823,0.17054881978097117,0.2058133509827567,0.01948370582729489,0.1649464651830171,0.11557367618169154,0.13546192979899685,0.08034108129844152,0.1722473256483378,0.07966995662053687,0.08034531879861681,0.0491646601776016,0.533361299886813,0.1917093973276148,0.3624685797516037,0.19622001762455168,0.34277526619323334,0.35497838709587676,0.444021831628473,0.36854171855269047,0.4649717745707973,0.8667524550617374,0.7730761312543458,0.7842845566855794,0.8611099594727976,0.8736392293229327,0.8890092644754207,0.649095048323751,0.8126467490505327,0.8567983196772649,0.7475264975771879,0.8557054331917628,0.6822378014714459,0.9699995980643346,0.35935584001593573,0.6020993960452616,0.08788098078018003,0.1678436777708869,0.12455371237933897,0.29861749194116116,0.40649229680405463,0.4299333320171424,0.4840648553006363,0.23771263288370992,0.1573538865540735,0.08527673761820585,0.3326384864339431,0.2016085603726095,0.408704312339988,0.7864494347673016,0.8448451776783766,0.8500925025749766,0.5952309696347035,0.8837303420438795,0.8663204119049845,0.24124151234816685,0.2222696281687353,0.214810199610232,0.690843891851978,0.8750548297354903,0.7927872774518875,1,0.9468795927256116,0.8985511544520165,0.686733399260251,0.5985035986123981,0.5309494181373597,0,0,0,0.022602133496157237,0,0,0,0.5846669635806234,0.504759601054375,0.6139083326673728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;
0.04588865557322373,0.015967891840805097,0.03366798682631775,0.0026945440142285954,0,8.978853407754651e-4,0.00980651995405258,0.014605241983487387,0,0.011890098802331802,0,0.007759741720469788,0,0,0,0,0,0,0,0,0,0,0.03626242129584333,0.09092915639152054,0.08417320360857987,0.0028858655208423164,0,0,0.0559791844249862,0.019041853924253668,0.11057689854428282,0.012223457991391575,0.030534577380645595,0,0.01946017407481401,0.02041258109587279,0.02934776972706414,0,0.0035871380745822745,0,0.0011537343894910547,0,0.0025668260503357307,0,0,0,0.01685309248472633,0.01683435168232722,0.01976682397102098,0,0,0,0.22155049289518497,0.07602967167106821,0.044043003753777746,0.00298775310107616,0.031062672318503144,8.27940888777424e-4,0.005965516580587775,0,0,0.06946151577613599,0.04317843503779957,0.08364433067951572,0.07851669122590275,0.043532026980722775,0.07757241161721971,0.023008905314793562,0.021299761340202204,0.08472240852771676,0.020843279116730576,0.03690614807109492,0.02711858531443904,0.020883071221412166,0.017446762329290162,0.025237956511609528,0,0,0.0035922315998678034,0.0382812996550832,0.06242375091271012,0.08901052685042159,0.11196568731245983,0.08878260456777592,0.024593152795770963,0.04525347694683361,0.2458095547094496,0.12565459610762653,0.21155870761921983,0.008427198436292523,0.012422975287371359,0,0,0,0,0.042097664299559565,0.08405854806130635,0.048347220102866066,0.2350872917442539,0.2615325654464355,0.19203115028982123,0.1985475156029116,0.16154106349318798,0.18826636443061354,0.16384755478062632,0.1353392746221576,0.3430275424478498,0.9602327099485792,0.6066264844040684,0.13047034248575,0.8186291955334178,1,0.49759438537612005,0.4143195396359291,0.02278559402997051,0.009015668456737576,0.006762413838881666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora castaneae
0,0,0.25912207174122637,0,0,0,0.3259140623521549,0.5274250973668564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09099469246191276,0,0,0,0,0,0,1,0,0,0.40061329899550324,0.6046131213592312,0,0,0,0,0,0,0,0,0,0,0,0.2654570037858302,0,0,0,0.5231678785176396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4440606706906002,0.5909594897665443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4313927121236092,0.14096512704897435,0,0,0.24162712311119644,0.2570867379006914,0,0,0,0,0,0,0,0,0,0.8163735186670231,0,0,0,0,0,0,0.567949605074669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Anthozoa;Scleractinia;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3288569460450326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16176908971012005,0,0,0.1812153675464006,0.30876704967520663,0.11794003092572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10959442241943061,0.2069327546133258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3853171529391514,0.5718246261227586,0.34565179427633047,0.2444907958708464,0.3801860209798528,0.5559655033807078,0.24409297949366615,0,1,0,0,0.07325354036962195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Osmundea;Osmundea spectabilis
0,0,0,0,0,7.710341631626543e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08829194472607237,0,0,0,0,0,0,0,0.22404111185649284,0.18466064776212368,0,0,0,0,0,0,0,0,0,0,0.37283815397713,0,0,0.09456079516603412,0,0.28771664865379165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008989154303940858,0.009960079869451586,0,0,0,0.2836614163465806,0.2551218719778199,0,0,0,0,0,0,0.10009367695188935,0,0,0.08085134566724379,0,0,0.2216287069418736,0,0,0,0,0,0,0,0,0.1927504594400131,0.6618651067957889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae;Temora;Temora discaudata
0,0,0.19358333822919926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20531410815792264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032266122208535426,0,0,0,0,0,0.04783561681722795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9072181839326001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Aidanosagitta;Aidanosagitta neglecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052389874339845745,0.2279973417250844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus ostreatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12134326235065128,0,0,0.24610547618813056,0,0,0.03367519369972046,0.22714544110340526,0,0.28254902221391753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06309446309477236,0,0,0,0,0,0,0,0,0,0,0.3084861474954354,0,0.2497322308384388,0.47145996126660883,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6274151014477154,0.5699630771977782,0.6550699974312869,0,0,0,0.46719833286578766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11286980816309594,0,0,0,0,0,0,0,0.03726847066495885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa circularisquama
