CO1_AG_1,CO1_AG_2,CO1_AG_3,CO1_AP_1,CO1_AP_2,CO1_AP_3,CO1_BA_1,CO1_BA_2,CO1_BA_3,CO1_BM_1,CO1_BM_1_star,CO1_BM_2,CO1_BM_3,CO1_BTM01_1,CO1_BTM01_2,CO1_BTM01_3,CO1_BTM01_4,CO1_BTM02_1,CO1_BTM02_2,CO1_BTM02_3,CO1_BTM03_1,CO1_BTM03_2,CO1_BTM03_3,CO1_CC_1,CO1_CC_2,CO1_CC_3,CO1_CD_1,CO1_CD_2,CO1_CD_3,CO1_CK_1,CO1_CK_2,CO1_CK_3,CO1_KL_1,CO1_KL_2,CO1_KL_3,CO1_KPP_1,CO1_KPP_2,CO1_KPP_3,CO1_KS_S01_1,CO1_KS_S01_2,CO1_KS_S01_3,CO1_KS_S02_1,CO1_KS_S02_2,CO1_KS_S02_3,CO1_KS_S03_1,CO1_KS_S03_2,CO1_KS_S03_3,CO1_MG_1,CO1_MG_2,CO1_MG_3,CO1_PL_1,CO1_PL_2,CO1_PL_3,CO1_PLK_1,CO1_PLK_2,CO1_PLK_3,CO1_PP_1,CO1_PP_2,CO1_PP_3,CO1_PPG_1,CO1_PPG_2,CO1_PPG_3,CO1_SB_01_1,CO1_SB_01_2,CO1_SB_01_3,CO1_SB_02_1,CO1_SB_02_2,CO1_SB_02_3,CO1_SB_03_1,CO1_SB_03_2,CO1_SB_03_3,CO1_SB_04_1,CO1_SB_04_2,CO1_SB_04_3,CO1_SB_05_1,CO1_SB_05_2,CO1_SB_05_3,CO1_SL_1,CO1_SL_2,CO1_SL_3,CO1_SP_1,CO1_SP_1_star,CO1_SP_2,CO1_SP_3,CO1_SR_1,CO1_SR_2,CO1_SR_3,CO1_SW_1,CO1_SW_2,CO1_SW_3,CO1_TK_1,CO1_TK_2,CO1_TK_3,CO1_TKS_1,CO1_TKS_2,CO1_TKS_3,CO1_TL_1,CO1_TL_2,CO1_TL_3,CO1_TTE_1_1,CO1_TTE_1_2,CO1_TTE_1_3,CO1_TTE_2_1,CO1_TTE_2_2,CO1_TTE_2_3,CO1_TTE_3_1,CO1_TTE_3_2,CO1_TTE_3_3,CO1_WKTB_01_1,CO1_WKTB_01_2,CO1_WKTB_2_1,CO1_WKTB_2_2,CO1_WKTB_2_3,CO1_WKTB_3_1,CO1_WKTB_3_2,CO1_WKTB_3_3,CO1_WM_1,CO1_WM_2,CO1_WM_3,bio_12S_miu_AG_1,bio_12S_miu_AG_2,bio_12S_miu_AG_3,bio_12S_miu_AP_1,bio_12S_miu_AP_2,bio_12S_miu_AP_3,bio_12S_miu_BA_1,bio_12S_miu_BA_2,bio_12S_miu_BA_3,bio_12S_miu_BM_1,bio_12S_miu_BM_1_star,bio_12S_miu_BM_2,bio_12S_miu_BM_3,bio_12S_miu_BTM01_1,bio_12S_miu_BTM01_2,bio_12S_miu_BTM01_3,bio_12S_miu_BTM01_4,bio_12S_miu_BTM02_1,bio_12S_miu_BTM02_2,bio_12S_miu_BTM02_3,bio_12S_miu_BTM03_1,bio_12S_miu_BTM03_2,bio_12S_miu_BTM03_3,bio_12S_miu_CC_1,bio_12S_miu_CC_2,bio_12S_miu_CC_3,bio_12S_miu_CD_1,bio_12S_miu_CD_2,bio_12S_miu_CD_3,bio_12S_miu_CK_1,bio_12S_miu_CK_2,bio_12S_miu_CK_3,bio_12S_miu_KL_2,bio_12S_miu_KL_3,bio_12S_miu_KPP_1,bio_12S_miu_KPP_2,bio_12S_miu_KPP_3,bio_12S_miu_KS_S01_1,bio_12S_miu_KS_S01_2,bio_12S_miu_KS_S01_3,bio_12S_miu_KS_S02_1,bio_12S_miu_KS_S02_2,bio_12S_miu_KS_S02_3,bio_12S_miu_KS_S03_1,bio_12S_miu_KS_S03_2,bio_12S_miu_KS_S03_3,bio_12S_miu_MG_1,bio_12S_miu_MG_2,bio_12S_miu_MG_3,bio_12S_miu_PL_1,bio_12S_miu_PL_2,bio_12S_miu_PL_3,bio_12S_miu_PLK_1,bio_12S_miu_PLK_2,bio_12S_miu_PLK_3,bio_12S_miu_PP_1,bio_12S_miu_PP_2,bio_12S_miu_PP_3,bio_12S_miu_PPG_1,bio_12S_miu_PPG_2,bio_12S_miu_SB_01_1,bio_12S_miu_SB_01_2,bio_12S_miu_SB_01_3,bio_12S_miu_SB_02_1,bio_12S_miu_SB_02_2,bio_12S_miu_SB_02_3,bio_12S_miu_SB_03_1,bio_12S_miu_SB_03_2,bio_12S_miu_SB_03_3,bio_12S_miu_SB_04_1,bio_12S_miu_SB_04_2,bio_12S_miu_SB_04_3,bio_12S_miu_SB_05_1,bio_12S_miu_SB_05_2,bio_12S_miu_SB_05_3,bio_12S_miu_SL_1,bio_12S_miu_SL_2,bio_12S_miu_SL_3,bio_12S_miu_SP_1,bio_12S_miu_SP_1_star,bio_12S_miu_SP_2,bio_12S_miu_SP_3,bio_12S_miu_SR_1,bio_12S_miu_SR_2,bio_12S_miu_SR_3,bio_12S_miu_SW_1,bio_12S_miu_SW_2,bio_12S_miu_SW_3,bio_12S_miu_TK_1,bio_12S_miu_TK_2,bio_12S_miu_TK_3,bio_12S_miu_TKS_1,bio_12S_miu_TKS_2,bio_12S_miu_TKS_3,bio_12S_miu_TL_1,bio_12S_miu_TL_2,bio_12S_miu_TL_3,bio_12S_miu_TTE_1_1,bio_12S_miu_TTE_1_2,bio_12S_miu_TTE_1_3,bio_12S_miu_TTE_2_1,bio_12S_miu_TTE_2_3,bio_12S_miu_TTE_3_1,bio_12S_miu_TTE_3_3,bio_12S_miu_WKTB_01_1,bio_12S_miu_WKTB_01_2,bio_12S_miu_WKTB_2_1,bio_12S_miu_WKTB_2_2,bio_12S_miu_WKTB_2_3,bio_12S_miu_WKTB_3_1,bio_12S_miu_WKTB_3_2,bio_12S_miu_WKTB_3_3,bio_12S_miu_WM_1,bio_12S_miu_WM_2,bio_12S_miu_WM_3,bio_12S_elas_AG_1,bio_12S_elas_AG_2,bio_12S_elas_AG_3,bio_12S_elas_AP_1,bio_12S_elas_AP_2,bio_12S_elas_AP_3,bio_12S_elas_BA_1,bio_12S_elas_BA_2,bio_12S_elas_BA_3,bio_12S_elas_BM_1,bio_12S_elas_BM_2,bio_12S_elas_BM_3,bio_12S_elas_BTM01_1,bio_12S_elas_BTM01_2,bio_12S_elas_BTM01_3,bio_12S_elas_BTM01_4,bio_12S_elas_BTM02_1,bio_12S_elas_BTM02_2,bio_12S_elas_BTM02_3,bio_12S_elas_BTM03_1,bio_12S_elas_BTM03_2,bio_12S_elas_BTM03_3,bio_12S_elas_CC_2,bio_12S_elas_CK_1,bio_12S_elas_CK_2,bio_12S_elas_CK_3,bio_12S_elas_KL_1,bio_12S_elas_KL_2,bio_12S_elas_KL_3,bio_12S_elas_KPP_1,bio_12S_elas_KPP_2,bio_12S_elas_KPP_3,bio_12S_elas_KS_S01_1,bio_12S_elas_KS_S01_2,bio_12S_elas_KS_S01_3,bio_12S_elas_KS_S02_1,bio_12S_elas_KS_S02_2,bio_12S_elas_KS_S02_3,bio_12S_elas_KS_S03_1,bio_12S_elas_KS_S03_2,bio_12S_elas_KS_S03_3,bio_12S_elas_MG_1,bio_12S_elas_MG_2,bio_12S_elas_MG_3,bio_12S_elas_PL_1,bio_12S_elas_PPG_3,bio_12S_elas_SB_01_1,bio_12S_elas_SB_01_2,bio_12S_elas_SB_01_3,bio_12S_elas_SB_02_1,bio_12S_elas_SB_02_2,bio_12S_elas_SB_02_3,bio_12S_elas_SB_03_1,bio_12S_elas_SB_03_2,bio_12S_elas_SB_03_3,bio_12S_elas_SB_04_1,bio_12S_elas_SB_04_2,bio_12S_elas_SB_04_3,bio_12S_elas_SB_05_1,bio_12S_elas_SB_05_2,bio_12S_elas_SB_05_3,bio_12S_elas_SL_1,bio_12S_elas_SL_2,bio_12S_elas_SL_3,bio_12S_elas_SP_1,bio_12S_elas_SP_2,bio_12S_elas_SP_3,bio_12S_elas_SR_1,bio_12S_elas_SR_2,bio_12S_elas_SR_3,bio_12S_elas_SW_1,bio_12S_elas_SW_2,bio_12S_elas_SW_3,bio_12S_elas_TK_1,bio_12S_elas_TK_2,bio_12S_elas_TKS_2,bio_12S_elas_TKS_3,bio_12S_elas_TL_1,bio_12S_elas_TL_2,bio_12S_elas_TL_3,bio_12S_elas_TTE_1_1,bio_12S_elas_TTE_1_2,bio_12S_elas_TTE_1_3,bio_12S_elas_TTE_2_1,bio_12S_elas_TTE_2_2,bio_12S_elas_TTE_2_3,bio_12S_elas_TTE_3_1,bio_12S_elas_TTE_3_2,bio_12S_elas_TTE_3_3,bio_12S_elas_WKTB_01_1,bio_12S_elas_WKTB_01_2,bio_12S_elas_WKTB_2_1,bio_12S_elas_WKTB_2_2,bio_12S_elas_WKTB_2_3,bio_12S_elas_WKTB_3_1,bio_12S_elas_WKTB_3_2,bio_12S_elas_WKTB_3_3,bio_12S_elas_WM_1,bio_12S_elas_WM_2,sum.taxonomy
0,0.0015627335607223906,0.019972949437681804,0.09110593232838726,0.10845820297491629,0.10834340205667829,0.08878073669957022,0.0951219512195122,0.07701874941699574,0.07733486705304606,0.035038579431349755,0.08654975756669586,0.03722790831771659,0,0.013568017802228369,0,0.005941859226919391,0,0,0.003796784924325548,0.07028413950394374,0.04635455253152418,0.022447520302364778,0.12193770997911559,0.10972792084970173,0.102975601234496,0.1003907154297161,0.08415184186356696,0.14378891194782092,0.01621582049123321,0,0.022036777933240055,0,0.02698087431693989,0.008614711687203286,0.04763044137116971,0.06045438994411992,0.07141571739639008,0.10074365621511155,0.06718113541158877,0.08476037237099183,0.05079643111281406,0.034115534641817845,0.04111172538573654,0.007477030309430774,0.03211593067658866,0.025587055186476353,0.01949885563118628,0.0108084858407448,0.028098693759071116,0.0124,0.016491588922353632,0.007450641843705428,0.14672211979590963,0.04673391360937119,0.09983128464690287,0.046725713090173655,0.0842914794791746,0.0844874543663441,0.07355742839613807,0.04469968892079445,0.07719665649654275,0.2257814351263437,0.2114576459556142,0.21863504874825898,0.22520738878219723,0.2586538648422771,0.24767065019242454,0.22593061267531372,0.24306679156376848,0.2587630757937236,0.2525535189590038,0.2707598256570879,0.22052725302915208,0.33616019605314074,0.10678688524590164,0.18168822814666571,0.014995988158149573,0.031202696141433183,0.022630118821209848,0.06436973233305548,0.08215689357019336,0.08113485835142205,0.08785072703614336,0.03543592624751009,0.03334993019555009,0.012851471370687186,0.0941122035858878,0.056120722712200845,0.10423643225429224,0.20517208594789885,0.18519767343842197,0.2148112463869668,0.11703966521106259,0.18813926042486231,0.2003791958355771,0.03304204165036303,0.034929983396510135,0.029352894079969858,0.21147505733944955,0.3056408553960218,0.2663619553610959,0.34364283830123976,0.3363577811770389,0.30884547069271756,0.22198275862068967,0.20730308729758246,0.1009153119856784,0,0,0,0,0.003561767139794521,0,0,0,0.16088389764219466,0.13885924985480624,0.18793483302411873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;
0.001897862899453362,6.386824117734988e-4,0.001584125396031349,1.474969763119856e-4,0,5.317467585603843e-5,6.476048432992523e-4,9.523809523809524e-4,0,7.6685985636125e-4,0,4.912745370271482e-4,0,0,0,0,0,0,0,0,0,0,0,0.002833015527104331,0.005738396624472574,0.005302897959975931,1.8897965161601224e-4,0,0,0.002507412423587979,0.0011760714689584982,0.004872076753947631,4.402238852902333e-4,0.0012942191544434857,0,9.251726723134102e-4,0.0012037658865418975,0.0016286058773776746,0,2.4373920731052376e-4,0,8.210630029010893e-5,0,1.507764989696939e-4,0,0,0,7.133727669946199e-4,6.659914253603985e-4,9.482341557813256e-4,0,0,0,0.017922222698623678,0.005450256243390548,0.003567124608339359,2.092196108515238e-4,0.002246249904819919,5.794749956539375e-5,2.906131938390003e-4,0,0,0.005320867710734366,0.0034730663702983366,0.006856897967929717,0.006038527787127047,0.0037900137995374237,0.006355073931537371,0.002355091567366164,0.0018734565272928553,0.007524316388328133,0.0020707989366167624,0.003434027057114285,0.00257773682178748,0.002128208435444344,0.0015245901639344263,0.0022395349391275345,0,0,1.9192853279360704e-4,0.002426599981476336,0.0037101084735104545,0.0049396115099905385,0.005975466478012052,0.003891925021706931,0.0015327690400179636,0.002005484385871567,0.020451127819548873,0.010285791622493403,0.01586668792856004,6.46510743487355e-4,8.008092388097445e-4,0,0,0,0,0.0016955784531107344,0.003884590081764356,0.0019427306551123252,0.021161840596330275,0.026862533543585913,0.018972836419511942,0.020063967290952254,0.016874647773931245,0.019029011249259917,0.015574571088839816,0.013785036010826184,0.019172465567522307,0.0340639028254555,0.03533448463915652,0.015972261403445782,0.007870196520215296,0.037935723653327785,0.06416212069553358,0.017005747650761793,0.02875475854143223,0.0018437814280925244,7.293453450208674e-4,6.087662337662338e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora castaneae
0,0,2.2233338891668056e-4,0,0,0,3.9248778381772867e-4,6.271777003484321e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0866329967920704e-4,0,0,0,0,0,0,7.72936439459304e-4,0,0,4.308214751834159e-4,6.118519318324965e-4,0,0,0,0,0,0,0,0,0,0,0,2.3222060957910014e-4,0,0,0,7.717703554431248e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4269271413474993e-4,5.757855983808211e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.548762736535662e-4,1.6093269437093198e-4,0,0,2.03627705898938e-4,1.8838600291998304e-4,0,0,0,0,0,0,0,0,0,5.281225244256667e-4,0,0,0,0,0,0,0,8.380824673147837e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Anthozoa;Scleractinia;;;
0,0,2.779167361458507e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2292898968581873e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083839822179002e-4,0,0,2.526675866358283e-4,4.0510431436094796e-4,1.9332841224647615e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74007903378416e-5,1.7686370125194234e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.554759174311927e-4,9.406036462223698e-4,5.469177279474959e-4,3.956739646531258e-4,6.360196441510345e-4,8.999407933688573e-4,3.715814506539834e-4,0,8.951000490861318e-4,0,0,1.4361699399373213e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4665664168684057e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Phytopythium;Phytopythium montanum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013079534702510158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Clausidiidae;Hemicyclops;NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011614458064547351,0,0,2.3942346828836162e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydridae;Hydra;Hydra vulgaris
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4874617235065114e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Osmundea;Osmundea spectabilis
0,0,0,0,0,2.9541486586688016e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037615317565709806,0,0,0,0,0,0,0,0.006890941283437814,0.007045198241234684,0,0,0,0,0,0,0,0,0,0,0.010210147727610499,0,0,0.0028,0,0.008295173035057429,0,0,0.05239816823330923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.081967213114754e-4,5.717961546708598e-4,0,0,0,0.011632860979901825,0.009809778336739506,0,0,0,0,0,0,0.005300791735276205,0,0,0.003371828373935767,0,0,0.008976468063800872,0,0,0,0,0,0,0,0,0.01302632638273891,0.04328004736530491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Temoridae;Temora;Temora discaudata
