"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,141.767,138.855,144.679,0.258,0.247,0.269
"2",2,"interpolated",0,246.922,241.409,252.434,0.371,0.358,0.383
"3",3,"interpolated",0,336.141,328.155,344.127,0.436,0.423,0.448
"4",4,"interpolated",0,416.166,405.83,426.503,0.48,0.467,0.492
"5",5,"interpolated",0,489.95,477.359,502.541,0.512,0.5,0.525
"6",6,"interpolated",0,559.071,544.3,573.843,0.539,0.526,0.551
"7",7,"interpolated",0,624.496,607.602,641.39,0.56,0.547,0.573
"8",8,"interpolated",0,686.87,667.9,705.839,0.578,0.566,0.591
"9",9,"interpolated",0,746.654,725.648,767.66,0.594,0.582,0.607
"10",10,"interpolated",0,804.196,781.188,827.205,0.608,0.596,0.62
"11",11,"interpolated",0,859.769,834.788,884.75,0.62,0.608,0.633
"12",12,"interpolated",0,913.59,886.665,940.515,0.631,0.619,0.644
"13",13,"interpolated",0,965.842,936.999,994.684,0.641,0.629,0.654
"14",14,"interpolated",0,1016.675,985.939,1047.411,0.651,0.638,0.663
"15",15,"interpolated",0,1066.22,1033.615,1098.824,0.659,0.647,0.671
"16",16,"interpolated",0,1114.587,1080.136,1149.038,0.666,0.654,0.679
"17",17,"interpolated",0,1161.873,1125.597,1198.149,0.673,0.661,0.686
"18",18,"interpolated",0,1208.162,1170.082,1246.242,0.68,0.668,0.692
"19",19,"interpolated",0,1253.528,1213.663,1293.393,0.686,0.674,0.698
"20",20,"interpolated",0,1298.036,1256.405,1339.667,0.692,0.68,0.704
"21",21,"interpolated",0,1341.744,1298.364,1385.124,0.697,0.685,0.709
"22",22,"interpolated",0,1384.703,1339.591,1429.815,0.702,0.69,0.714
"23",23,"interpolated",0,1426.959,1380.13,1473.787,0.707,0.695,0.719
"24",24,"interpolated",0,1468.552,1420.023,1517.081,0.711,0.699,0.723
"25",25,"interpolated",0,1509.519,1459.303,1559.734,0.715,0.703,0.727
"26",26,"interpolated",0,1549.893,1498.004,1601.781,0.719,0.707,0.731
"27",27,"interpolated",0,1589.702,1536.154,1643.251,0.723,0.711,0.735
"28",28,"interpolated",0,1628.975,1573.779,1684.17,0.727,0.715,0.739
"29",29,"interpolated",0,1667.733,1610.902,1724.565,0.73,0.718,0.742
"30",30,"observed",0,1706,1647.544,1764.456,0.733,0.721,0.746
"31",31,"extrapolated",0,1743.781,1683.711,1803.851,0.737,0.725,0.749
"32",32,"extrapolated",0,1781.082,1719.407,1842.758,0.74,0.728,0.752
"33",33,"extrapolated",0,1817.91,1754.639,1881.182,0.744,0.731,0.756
"34",34,"extrapolated",0,1854.271,1789.411,1919.131,0.747,0.735,0.759
"35",35,"extrapolated",0,1890.17,1823.729,1956.611,0.75,0.738,0.762
"36",36,"extrapolated",0,1925.613,1857.597,1993.629,0.753,0.741,0.765
"37",37,"extrapolated",0,1960.607,1891.021,2030.192,0.756,0.744,0.769
"38",38,"extrapolated",0,1995.156,1924.006,2066.306,0.759,0.747,0.772
"39",39,"extrapolated",0,2029.267,1956.556,2101.977,0.762,0.75,0.775
"40",40,"extrapolated",0,2062.944,1988.677,2137.212,0.765,0.753,0.778
"41",41,"extrapolated",0,2096.195,2020.374,2172.016,0.768,0.756,0.781
"42",42,"extrapolated",0,2129.023,2051.651,2206.395,0.771,0.759,0.784
"43",43,"extrapolated",0,2161.435,2082.513,2240.356,0.774,0.762,0.787
"44",44,"extrapolated",0,2193.435,2112.966,2273.904,0.777,0.764,0.79
"45",45,"extrapolated",0,2225.029,2143.013,2307.045,0.78,0.767,0.793
"46",46,"extrapolated",0,2256.222,2172.66,2339.784,0.783,0.77,0.796
