"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,307.3,298.447,316.153,0.288,0.276,0.3
"2",2,"interpolated",0,526.089,510.795,541.383,0.387,0.374,0.4
"3",3,"interpolated",0,714.467,693.106,735.827,0.447,0.433,0.461
"4",4,"interpolated",0,884.405,857.278,911.531,0.49,0.476,0.504
"5",5,"interpolated",0,1041.19,1008.611,1073.77,0.523,0.509,0.537
"6",6,"interpolated",0,1187.833,1150.057,1225.61,0.549,0.535,0.564
"7",7,"interpolated",0,1326.358,1283.553,1369.163,0.571,0.555,0.586
"8",8,"interpolated",0,1458.222,1410.478,1505.967,0.589,0.573,0.605
"9",9,"interpolated",0,1584.5,1531.847,1637.153,0.605,0.587,0.622
"10",10,"observed",0,1706,1648.433,1763.567,0.62,0.601,0.638
"11",11,"extrapolated",0,1822.903,1760.375,1885.431,0.634,0.615,0.653
"12",12,"extrapolated",0,1935.383,1867.813,2002.953,0.648,0.628,0.668
"13",13,"extrapolated",0,2043.607,1970.892,2116.322,0.661,0.64,0.682
"14",14,"extrapolated",0,2147.737,2069.758,2225.715,0.674,0.653,0.695
"15",15,"extrapolated",0,2247.926,2164.559,2331.294,0.686,0.664,0.708
