"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,131.889,126.335,137.443,0.269,0.252,0.285
"2",2,"interpolated",0,228.306,218.726,237.885,0.37,0.351,0.389
"3",3,"interpolated",0,311.381,298.18,324.582,0.434,0.414,0.453
"4",4,"interpolated",0,386.095,369.368,402.822,0.478,0.458,0.498
"5",5,"interpolated",0,455,434.761,475.239,0.511,0.49,0.531
"6",6,"interpolated",0,519.548,495.784,543.311,0.537,0.516,0.557
"7",7,"interpolated",0,580.667,553.341,607.993,0.558,0.536,0.579
"8",8,"interpolated",0,639,608.059,669.941,0.575,0.553,0.598
"9",9,"observed",0,695,660.376,729.624,0.592,0.568,0.617
"10",10,"extrapolated",0,748.76,710.371,787.149,0.609,0.583,0.635
"11",11,"extrapolated",0,800.37,758.126,842.613,0.624,0.597,0.652
"12",12,"extrapolated",0,849.915,803.719,896.111,0.639,0.611,0.668
"13",13,"extrapolated",0,897.478,847.23,947.726,0.654,0.624,0.684
"14",14,"extrapolated",0,943.139,888.743,997.535,0.668,0.636,0.699
"15",15,"extrapolated",0,986.974,928.338,1045.609,0.681,0.649,0.713
"16",16,"extrapolated",0,1029.055,966.098,1092.012,0.694,0.661,0.727
"17",17,"extrapolated",0,1069.452,1002.101,1136.804,0.706,0.672,0.74
"18",18,"extrapolated",0,1108.234,1036.428,1180.041,0.718,0.683,0.752
"19",19,"extrapolated",0,1145.465,1069.154,1221.776,0.729,0.694,0.764
"20",20,"extrapolated",0,1181.206,1100.355,1262.058,0.74,0.705,0.775
"21",21,"extrapolated",0,1215.518,1130.101,1300.935,0.75,0.715,0.785
"22",22,"extrapolated",0,1248.457,1158.461,1338.453,0.76,0.725,0.795
"23",23,"extrapolated",0,1280.079,1185.503,1374.655,0.77,0.735,0.805
"24",24,"extrapolated",0,1310.436,1211.288,1409.584,0.779,0.744,0.814
"25",25,"extrapolated",0,1339.578,1235.878,1443.279,0.788,0.753,0.823
"26",26,"extrapolated",0,1367.555,1259.33,1475.781,0.796,0.762,0.831
"27",27,"extrapolated",0,1394.413,1281.699,1507.127,0.805,0.77,0.839
"28",28,"extrapolated",0,1420.197,1303.037,1537.356,0.812,0.778,0.846
"29",29,"extrapolated",0,1444.949,1323.395,1566.503,0.82,0.786,0.853
"30",30,"extrapolated",0,1468.711,1342.819,1594.602,0.827,0.794,0.86
"31",31,"extrapolated",0,1491.522,1361.355,1621.69,0.834,0.801,0.866
"32",32,"extrapolated",0,1513.421,1379.045,1647.798,0.841,0.809,0.873
"33",33,"extrapolated",0,1534.445,1395.931,1672.958,0.847,0.816,0.878
"34",34,"extrapolated",0,1554.627,1412.05,1697.204,0.853,0.822,0.884
"35",35,"extrapolated",0,1574.002,1427.44,1720.564,0.859,0.829,0.889
"36",36,"extrapolated",0,1592.602,1442.135,1743.068,0.865,0.835,0.894
"37",37,"extrapolated",0,1610.458,1456.169,1764.747,0.87,0.841,0.899
"38",38,"extrapolated",0,1627.599,1469.572,1785.627,0.875,0.847,0.904
"39",39,"extrapolated",0,1644.055,1482.376,1805.735,0.88,0.853,0.908
"40",40,"extrapolated",0,1659.853,1494.607,1825.099,0.885,0.858,0.912
"41",41,"extrapolated",0,1675.019,1506.294,1843.744,0.89,0.863,0.916
"42",42,"extrapolated",0,1689.578,1517.462,1861.695,0.894,0.868,0.92
"43",43,"extrapolated",0,1703.555,1528.135,1878.975,0.898,0.873,0.923
"44",44,"extrapolated",0,1716.973,1538.336,1895.609,0.902,0.878,0.927
"45",45,"extrapolated",0,1729.854,1548.088,1911.62,0.906,0.883,0.93
"46",46,"extrapolated",0,1742.22,1557.411,1927.028,0.91,0.887,0.933
"47",47,"extrapolated",0,1754.091,1566.326,1941.856,0.914,0.891,0.936
"48",48,"extrapolated",0,1765.487,1574.85,1956.125,0.917,0.895,0.939
"49",49,"extrapolated",0,1776.428,1583.003,1969.853,0.92,0.899,0.941
"50",50,"extrapolated",0,1786.931,1590.801,1983.061,0.924,0.903,0.944
"51",51,"extrapolated",0,1797.014,1598.26,1995.767,0.927,0.907,0.946
"52",52,"extrapolated",0,1806.693,1605.396,2007.99,0.93,0.91,0.949
"53",53,"extrapolated",0,1815.985,1612.224,2019.747,0.932,0.914,0.951
"54",54,"extrapolated",0,1824.906,1618.758,2031.054,0.935,0.917,0.953
"55",55,"extrapolated",0,1833.47,1625.01,2041.929,0.938,0.92,0.955
"56",56,"extrapolated",0,1841.691,1630.995,2052.387,0.94,0.923,0.957
"57",57,"extrapolated",0,1849.583,1636.723,2062.444,0.943,0.926,0.959
"58",58,"extrapolated",0,1857.16,1642.206,2072.113,0.945,0.929,0.961
"59",59,"extrapolated",0,1864.433,1647.456,2081.411,0.947,0.932,0.962
"60",60,"extrapolated",0,1871.416,1652.483,2090.349,0.949,0.934,0.964
"61",61,"extrapolated",0,1878.12,1657.296,2098.943,0.951,0.937,0.965
"62",62,"extrapolated",0,1884.555,1661.906,2107.204,0.953,0.939,0.967
"63",63,"extrapolated",0,1890.733,1666.321,2115.144,0.955,0.942,0.968
"64",64,"extrapolated",0,1896.663,1670.549,2122.777,0.957,0.944,0.97
"65",65,"extrapolated",0,1902.357,1674.6,2130.113,0.959,0.946,0.971
"66",66,"extrapolated",0,1907.822,1678.481,2137.164,0.96,0.948,0.972
"67",67,"extrapolated",0,1913.07,1682.198,2143.941,0.962,0.95,0.973
"68",68,"extrapolated",0,1918.107,1685.761,2150.453,0.963,0.952,0.975
"69",69,"extrapolated",0,1922.942,1689.174,2156.711,0.965,0.954,0.976
"70",70,"extrapolated",0,1927.585,1692.446,2162.724,0.966,0.956,0.977
"71",71,"extrapolated",0,1932.041,1695.581,2168.502,0.968,0.958,0.978
"72",72,"extrapolated",0,1936.32,1698.586,2174.054,0.969,0.959,0.979
"73",73,"extrapolated",0,1940.427,1701.466,2179.388,0.97,0.961,0.979
"74",74,"extrapolated",0,1944.37,1704.228,2184.512,0.971,0.962,0.98
"75",75,"extrapolated",0,1948.155,1706.875,2189.435,0.972,0.964,0.981
"76",76,"extrapolated",0,1951.789,1709.413,2194.165,0.974,0.965,0.982
"77",77,"extrapolated",0,1955.277,1711.846,2198.709,0.975,0.967,0.983
"78",78,"extrapolated",0,1958.626,1714.179,2203.073,0.976,0.968,0.983
"79",79,"extrapolated",0,1961.841,1716.417,2207.265,0.977,0.969,0.984
"80",80,"extrapolated",0,1964.928,1718.563,2211.292,0.978,0.97,0.985
"81",81,"extrapolated",0,1967.89,1720.621,2215.16,0.978,0.972,0.985
"82",82,"extrapolated",0,1970.735,1722.595,2218.875,0.979,0.973,0.986
"83",83,"extrapolated",0,1973.465,1724.488,2222.443,0.98,0.974,0.987
"84",84,"extrapolated",0,1976.087,1726.305,2225.869,0.981,0.975,0.987
"85",85,"extrapolated",0,1978.603,1728.047,2229.16,0.982,0.976,0.988
"86",86,"extrapolated",0,1981.019,1729.718,2232.32,0.982,0.977,0.988
"87",87,"extrapolated",0,1983.338,1731.322,2235.355,0.983,0.978,0.989
"88",88,"extrapolated",0,1985.565,1732.861,2238.269,0.984,0.979,0.989
"89",89,"extrapolated",0,1987.702,1734.337,2241.067,0.984,0.979,0.99
"90",90,"extrapolated",0,1989.754,1735.754,2243.754,0.985,0.98,0.99
"91",91,"extrapolated",0,1991.724,1737.113,2246.335,0.986,0.981,0.99
"92",92,"extrapolated",0,1993.615,1738.418,2248.812,0.986,0.982,0.991
"93",93,"extrapolated",0,1995.43,1739.67,2251.191,0.987,0.982,0.991
"94",94,"extrapolated",0,1997.173,1740.872,2253.475,0.987,0.983,0.991
"95",95,"extrapolated",0,1998.846,1742.025,2255.667,0.988,0.984,0.992
"96",96,"extrapolated",0,2000.452,1743.132,2257.772,0.988,0.984,0.992
"97",97,"extrapolated",0,2001.994,1744.195,2259.794,0.989,0.985,0.992
"98",98,"extrapolated",0,2003.475,1745.215,2261.734,0.989,0.986,0.993
"99",99,"extrapolated",0,2004.896,1746.195,2263.597,0.99,0.986,0.993
"100",100,"extrapolated",0,2006.26,1747.135,2265.385,0.99,0.987,0.993
"101",101,"extrapolated",0,2007.569,1748.037,2267.102,0.99,0.987,0.994
"102",102,"extrapolated",0,2008.827,1748.904,2268.75,0.991,0.988,0.994
"103",103,"extrapolated",0,2010.034,1749.736,2270.332,0.991,0.988,0.994
"104",104,"extrapolated",0,2011.192,1750.534,2271.85,0.992,0.989,0.994
"105",105,"extrapolated",0,2012.305,1751.301,2273.308,0.992,0.989,0.995
"106",106,"extrapolated",0,2013.372,1752.038,2274.707,0.992,0.99,0.995
"107",107,"extrapolated",0,2014.397,1752.745,2276.05,0.993,0.99,0.995
"108",108,"extrapolated",0,2015.382,1753.424,2277.339,0.993,0.99,0.995
"109",109,"extrapolated",0,2016.326,1754.076,2278.576,0.993,0.991,0.995
"110",110,"extrapolated",0,2017.233,1754.703,2279.764,0.993,0.991,0.996
"111",111,"extrapolated",0,2018.104,1755.304,2280.904,0.994,0.992,0.996
"112",112,"extrapolated",0,2018.94,1755.882,2281.998,0.994,0.992,0.996
"113",113,"extrapolated",0,2019.742,1756.437,2283.048,0.994,0.992,0.996
"114",114,"extrapolated",0,2020.512,1756.969,2284.056,0.994,0.993,0.996
"115",115,"extrapolated",0,2021.252,1757.481,2285.023,0.995,0.993,0.996
"116",116,"extrapolated",0,2021.962,1757.973,2285.951,0.995,0.993,0.997
"117",117,"extrapolated",0,2022.643,1758.445,2286.842,0.995,0.993,0.997
"118",118,"extrapolated",0,2023.298,1758.898,2287.697,0.995,0.994,0.997
"119",119,"extrapolated",0,2023.926,1759.334,2288.517,0.995,0.994,0.997
"120",120,"extrapolated",0,2024.529,1759.753,2289.305,0.996,0.994,0.997
"121",121,"extrapolated",0,2025.108,1760.155,2290.061,0.996,0.994,0.997
"122",122,"extrapolated",0,2025.663,1760.541,2290.786,0.996,0.995,0.997
"123",123,"extrapolated",0,2026.197,1760.912,2291.482,0.996,0.995,0.997
"124",124,"extrapolated",0,2026.709,1761.268,2292.15,0.996,0.995,0.998
"125",125,"extrapolated",0,2027.201,1761.61,2292.791,0.996,0.995,0.998
"126",126,"extrapolated",0,2027.673,1761.939,2293.406,0.997,0.995,0.998
"127",127,"extrapolated",0,2028.126,1762.255,2293.996,0.997,0.996,0.998
"128",128,"extrapolated",0,2028.561,1762.559,2294.562,0.997,0.996,0.998
"129",129,"extrapolated",0,2028.978,1762.851,2295.106,0.997,0.996,0.998
"130",130,"extrapolated",0,2029.379,1763.131,2295.627,0.997,0.996,0.998
"131",131,"extrapolated",0,2029.764,1763.4,2296.128,0.997,0.996,0.998
"132",132,"extrapolated",0,2030.133,1763.659,2296.608,0.997,0.996,0.998
"133",133,"extrapolated",0,2030.488,1763.907,2297.069,0.997,0.997,0.998
"134",134,"extrapolated",0,2030.828,1764.146,2297.511,0.998,0.997,0.998
"135",135,"extrapolated",0,2031.155,1764.376,2297.935,0.998,0.997,0.998
"136",136,"extrapolated",0,2031.469,1764.596,2298.342,0.998,0.997,0.998
"137",137,"extrapolated",0,2031.77,1764.808,2298.733,0.998,0.997,0.999
"138",138,"extrapolated",0,2032.06,1765.012,2299.107,0.998,0.997,0.999
"139",139,"extrapolated",0,2032.337,1765.207,2299.467,0.998,0.997,0.999
"140",140,"extrapolated",0,2032.604,1765.395,2299.812,0.998,0.997,0.999
"141",141,"extrapolated",0,2032.86,1765.576,2300.143,0.998,0.998,0.999
"142",142,"extrapolated",0,2033.105,1765.749,2300.461,0.998,0.998,0.999
"143",143,"extrapolated",0,2033.341,1765.916,2300.766,0.998,0.998,0.999
"144",144,"extrapolated",0,2033.567,1766.076,2301.058,0.998,0.998,0.999
"145",145,"extrapolated",0,2033.785,1766.23,2301.339,0.998,0.998,0.999
"146",146,"extrapolated",0,2033.993,1766.378,2301.608,0.998,0.998,0.999
"147",147,"extrapolated",0,2034.193,1766.52,2301.867,0.999,0.998,0.999
"148",148,"extrapolated",0,2034.386,1766.657,2302.114,0.999,0.998,0.999
"149",149,"extrapolated",0,2034.57,1766.788,2302.352,0.999,0.998,0.999
"150",150,"extrapolated",0,2034.748,1766.915,2302.58,0.999,0.998,0.999
"151",151,"extrapolated",0,2034.918,1767.036,2302.799,0.999,0.998,0.999
"152",152,"extrapolated",0,2035.081,1767.152,2303.009,0.999,0.998,0.999
"153",153,"extrapolated",0,2035.238,1767.264,2303.211,0.999,0.998,0.999
"154",154,"extrapolated",0,2035.388,1767.372,2303.404,0.999,0.999,0.999
"155",155,"extrapolated",0,2035.533,1767.475,2303.59,0.999,0.999,0.999
"156",156,"extrapolated",0,2035.671,1767.575,2303.768,0.999,0.999,0.999
"157",157,"extrapolated",0,2035.804,1767.67,2303.939,0.999,0.999,0.999
"158",158,"extrapolated",0,2035.932,1767.762,2304.102,0.999,0.999,0.999
"159",159,"extrapolated",0,2036.055,1767.85,2304.26,0.999,0.999,0.999
"160",160,"extrapolated",0,2036.173,1767.935,2304.41,0.999,0.999,0.999
"161",161,"extrapolated",0,2036.286,1768.017,2304.555,0.999,0.999,0.999
"162",162,"extrapolated",0,2036.394,1768.095,2304.694,0.999,0.999,0.999
"163",163,"extrapolated",0,2036.499,1768.17,2304.827,0.999,0.999,0.999
"164",164,"extrapolated",0,2036.599,1768.242,2304.955,0.999,0.999,1
"165",165,"extrapolated",0,2036.695,1768.312,2305.078,0.999,0.999,1
"166",166,"extrapolated",0,2036.787,1768.379,2305.195,0.999,0.999,1
"167",167,"extrapolated",0,2036.876,1768.443,2305.308,0.999,0.999,1
"168",168,"extrapolated",0,2036.96,1768.505,2305.416,0.999,0.999,1
"169",169,"extrapolated",0,2037.042,1768.564,2305.52,0.999,0.999,1
"170",170,"extrapolated",0,2037.12,1768.621,2305.62,0.999,0.999,1
"171",171,"extrapolated",0,2037.196,1768.676,2305.716,0.999,0.999,1
"172",172,"extrapolated",0,2037.268,1768.728,2305.807,0.999,0.999,1
"173",173,"extrapolated",0,2037.337,1768.779,2305.895,0.999,0.999,1
"174",174,"extrapolated",0,2037.404,1768.827,2305.98,1,0.999,1
"175",175,"extrapolated",0,2037.467,1768.874,2306.061,1,0.999,1
"176",176,"extrapolated",0,2037.529,1768.919,2306.138,1,0.999,1
"177",177,"extrapolated",0,2037.588,1768.962,2306.213,1,0.999,1
"178",178,"extrapolated",0,2037.644,1769.004,2306.285,1,0.999,1
"179",179,"extrapolated",0,2037.698,1769.043,2306.353,1,0.999,1
"180",180,"extrapolated",0,2037.75,1769.082,2306.419,1,1,1
"181",181,"extrapolated",0,2037.8,1769.119,2306.482,1,1,1
"182",182,"extrapolated",0,2037.848,1769.154,2306.543,1,1,1
"183",183,"extrapolated",0,2037.894,1769.188,2306.601,1,1,1
"184",184,"extrapolated",0,2037.939,1769.221,2306.657,1,1,1
"185",185,"extrapolated",0,2037.981,1769.252,2306.71,1,1,1
"186",186,"extrapolated",0,2038.022,1769.282,2306.762,1,1,1
"187",187,"extrapolated",0,2038.061,1769.311,2306.811,1,1,1
"188",188,"extrapolated",0,2038.099,1769.339,2306.858,1,1,1
"189",189,"extrapolated",0,2038.135,1769.366,2306.903,1,1,1
"190",190,"extrapolated",0,2038.169,1769.391,2306.947,1,1,1
"191",191,"extrapolated",0,2038.202,1769.416,2306.989,1,1,1
"192",192,"extrapolated",0,2038.234,1769.44,2307.029,1,1,1
"193",193,"extrapolated",0,2038.265,1769.463,2307.067,1,1,1
"194",194,"extrapolated",0,2038.294,1769.485,2307.104,1,1,1
"195",195,"extrapolated",0,2038.323,1769.506,2307.139,1,1,1
"196",196,"extrapolated",0,2038.35,1769.526,2307.173,1,1,1
"197",197,"extrapolated",0,2038.376,1769.546,2307.206,1,1,1
"198",198,"extrapolated",0,2038.401,1769.564,2307.237,1,1,1
"199",199,"extrapolated",0,2038.425,1769.582,2307.267,1,1,1
"200",200,"extrapolated",0,2038.448,1769.6,2307.296,1,1,1
"201",201,"extrapolated",0,2038.47,1769.616,2307.323,1,1,1
"202",202,"extrapolated",0,2038.491,1769.632,2307.35,1,1,1
"203",203,"extrapolated",0,2038.511,1769.648,2307.375,1,1,1
"204",204,"extrapolated",0,2038.531,1769.662,2307.399,1,1,1
"205",205,"extrapolated",0,2038.55,1769.676,2307.423,1,1,1
"206",206,"extrapolated",0,2038.568,1769.69,2307.445,1,1,1
"207",207,"extrapolated",0,2038.585,1769.703,2307.467,1,1,1
"208",208,"extrapolated",0,2038.602,1769.716,2307.487,1,1,1
"209",209,"extrapolated",0,2038.617,1769.728,2307.507,1,1,1
"210",210,"extrapolated",0,2038.633,1769.739,2307.526,1,1,1
"211",211,"extrapolated",0,2038.647,1769.751,2307.544,1,1,1
"212",212,"extrapolated",0,2038.662,1769.761,2307.562,1,1,1
"213",213,"extrapolated",0,2038.675,1769.772,2307.579,1,1,1
"214",214,"extrapolated",0,2038.688,1769.782,2307.595,1,1,1
"215",215,"extrapolated",0,2038.701,1769.791,2307.61,1,1,1
"216",216,"extrapolated",0,2038.713,1769.8,2307.625,1,1,1
"217",217,"extrapolated",0,2038.724,1769.809,2307.639,1,1,1
"218",218,"extrapolated",0,2038.735,1769.817,2307.653,1,1,1
"219",219,"extrapolated",0,2038.746,1769.826,2307.666,1,1,1
"220",220,"extrapolated",0,2038.756,1769.833,2307.678,1,1,1
"221",221,"extrapolated",0,2038.766,1769.841,2307.69,1,1,1
"222",222,"extrapolated",0,2038.775,1769.848,2307.702,1,1,1
"223",223,"extrapolated",0,2038.784,1769.855,2307.713,1,1,1
"224",224,"extrapolated",0,2038.793,1769.862,2307.724,1,1,1
"225",225,"extrapolated",0,2038.801,1769.868,2307.734,1,1,1
