"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,146.5,138.998,154.002,0.195,0.176,0.214
"2",2,"interpolated",0,264.429,251.786,277.071,0.325,0.301,0.35
"3",3,"interpolated",0,363.25,346.312,380.188,0.418,0.391,0.444
"4",4,"interpolated",0,448.571,427.733,469.41,0.483,0.455,0.512
"5",5,"interpolated",0,524.286,499.695,548.876,0.53,0.5,0.56
"6",6,"interpolated",0,593.143,564.808,621.477,0.564,0.534,0.595
"7",7,"interpolated",0,657,624.85,689.15,0.59,0.559,0.622
"8",8,"observed",0,717,680.91,753.09,0.615,0.583,0.648
"9",9,"extrapolated",0,773.376,733.218,813.534,0.638,0.605,0.672
"10",10,"extrapolated",0,826.346,781.993,870.7,0.66,0.626,0.695
"11",11,"extrapolated",0,876.117,827.452,924.783,0.681,0.646,0.716
"12",12,"extrapolated",0,922.882,869.806,975.958,0.7,0.665,0.735
"13",13,"extrapolated",0,966.822,909.26,1024.384,0.718,0.683,0.754
"14",14,"extrapolated",0,1008.108,946.011,1070.206,0.735,0.7,0.771
"15",15,"extrapolated",0,1046.9,980.243,1113.558,0.751,0.716,0.786
"16",16,"extrapolated",0,1083.349,1012.133,1154.565,0.766,0.732,0.801
"17",17,"extrapolated",0,1117.597,1041.847,1193.346,0.78,0.746,0.814
"18",18,"extrapolated",0,1149.775,1069.538,1230.013,0.794,0.76,0.827
"19",19,"extrapolated",0,1180.01,1095.349,1264.671,0.806,0.773,0.839
"20",20,"extrapolated",0,1208.419,1119.416,1297.422,0.818,0.786,0.85
"21",21,"extrapolated",0,1235.112,1141.862,1328.362,0.829,0.798,0.86
"22",22,"extrapolated",0,1260.192,1162.801,1357.584,0.839,0.809,0.869
"23",23,"extrapolated",0,1283.758,1182.341,1385.175,0.849,0.82,0.878
"24",24,"extrapolated",0,1305.9,1200.58,1411.22,0.858,0.83,0.886
"25",25,"extrapolated",0,1326.705,1217.611,1435.799,0.867,0.84,0.893
"26",26,"extrapolated",0,1346.253,1233.516,1458.989,0.875,0.849,0.9
"27",27,"extrapolated",0,1364.62,1248.376,1480.864,0.882,0.858,0.907
"28",28,"extrapolated",0,1381.878,1262.263,1501.493,0.889,0.866,0.913
"29",29,"extrapolated",0,1398.093,1275.244,1520.943,0.896,0.873,0.919
"30",30,"extrapolated",0,1413.329,1287.381,1539.278,0.902,0.881,0.924
"31",31,"extrapolated",0,1427.645,1298.733,1556.558,0.908,0.888,0.929
"32",32,"extrapolated",0,1441.096,1309.352,1572.84,0.914,0.894,0.933
"33",33,"extrapolated",0,1453.734,1319.289,1588.18,0.919,0.9,0.938
"34",34,"extrapolated",0,1465.61,1328.59,1602.629,0.924,0.906,0.942
"35",35,"extrapolated",0,1476.767,1337.297,1616.238,0.928,0.912,0.945
"36",36,"extrapolated",0,1487.251,1345.451,1629.052,0.933,0.917,0.949
"37",37,"extrapolated",0,1497.102,1353.088,1641.116,0.937,0.922,0.952
"38",38,"extrapolated",0,1506.357,1360.243,1652.472,0.941,0.926,0.955
"39",39,"extrapolated",0,1515.054,1366.947,1663.161,0.944,0.931,0.958
"40",40,"extrapolated",0,1523.225,1373.23,1673.221,0.948,0.935,0.961
"41",41,"extrapolated",0,1530.903,1379.12,1682.686,0.951,0.939,0.963
"42",42,"extrapolated",0,1538.117,1384.642,1691.591,0.954,0.942,0.965
"43",43,"extrapolated",0,1544.895,1389.821,1699.969,0.957,0.946,0.967
"44",44,"extrapolated",0,1551.264,1394.678,1707.849,0.959,0.949,0.969
"45",45,"extrapolated",0,1557.248,1399.235,1715.26,0.962,0.952,0.971
"46",46,"extrapolated",0,1562.87,1403.51,1722.23,0.964,0.955,0.973
"47",47,"extrapolated",0,1568.153,1407.522,1728.784,0.966,0.957,0.975
"48",48,"extrapolated",0,1573.117,1411.288,1734.947,0.968,0.96,0.976
"49",49,"extrapolated",0,1577.781,1414.823,1740.74,0.97,0.962,0.978
"50",50,"extrapolated",0,1582.164,1418.141,1746.186,0.972,0.965,0.979
"51",51,"extrapolated",0,1586.281,1421.257,1751.306,0.974,0.967,0.98
"52",52,"extrapolated",0,1590.15,1424.183,1756.118,0.975,0.969,0.982
"53",53,"extrapolated",0,1593.785,1426.931,1760.64,0.977,0.971,0.983
"54",54,"extrapolated",0,1597.201,1429.512,1764.89,0.978,0.972,0.984
"55",55,"extrapolated",0,1600.41,1431.938,1768.883,0.979,0.974,0.985
"56",56,"extrapolated",0,1603.426,1434.216,1772.636,0.981,0.976,0.986
"57",57,"extrapolated",0,1606.259,1436.357,1776.162,0.982,0.977,0.987
"58",58,"extrapolated",0,1608.921,1438.369,1779.474,0.983,0.978,0.987
"59",59,"extrapolated",0,1611.423,1440.259,1782.586,0.984,0.98,0.988
"60",60,"extrapolated",0,1613.773,1442.037,1785.51,0.985,0.981,0.989
"61",61,"extrapolated",0,1615.981,1443.707,1788.256,0.986,0.982,0.99
"62",62,"extrapolated",0,1618.056,1445.278,1790.835,0.987,0.983,0.99
"63",63,"extrapolated",0,1620.006,1446.754,1793.258,0.987,0.984,0.991
"64",64,"extrapolated",0,1621.838,1448.142,1795.533,0.988,0.985,0.991
"65",65,"extrapolated",0,1623.559,1449.448,1797.67,0.989,0.986,0.992
