"","t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1",1,"interpolated",0,317.667,304.489,330.844,0.3,0.278,0.322
"2",2,"interpolated",0,540,517.654,562.346,0.443,0.412,0.474
"3",3,"observed",0,717,686.641,747.359,0.556,0.518,0.595
"4",4,"extrapolated",0,857.91,818.694,897.126,0.647,0.606,0.688
"5",5,"extrapolated",0,970.089,921.035,1019.142,0.719,0.679,0.759
"6",6,"extrapolated",0,1059.395,1000.227,1118.562,0.776,0.739,0.813
"7",7,"extrapolated",0,1130.491,1061.601,1199.381,0.822,0.789,0.855
"8",8,"extrapolated",0,1187.091,1109.286,1264.896,0.858,0.83,0.887
"9",9,"extrapolated",0,1232.15,1146.435,1317.866,0.887,0.863,0.912
"10",10,"extrapolated",0,1268.022,1175.452,1360.593,0.91,0.889,0.931
"11",11,"extrapolated",0,1296.58,1198.172,1394.988,0.928,0.911,0.946
"12",12,"extrapolated",0,1319.315,1216.002,1422.628,0.943,0.929,0.957
"13",13,"extrapolated",0,1337.414,1230.023,1444.805,0.955,0.943,0.966
"14",14,"extrapolated",0,1351.823,1241.07,1462.576,0.964,0.954,0.974
"15",15,"extrapolated",0,1363.294,1249.789,1476.799,0.971,0.963,0.979
