"","seq_number","sum.taxonomy"
"1","merged_CO1_1","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;"
"2","merged_CO1_2","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus tauri"
"3","merged_CO1_4","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"4","merged_CO1_5",""
"5","merged_CO1_7","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5"
"6","merged_CO1_10",""
"7","merged_CO1_11","Eukaryota;Arthropoda;Insecta;Diptera;Asilidae;Neoitamus;Neoitamus sp. USNM ENT 00914278"
"8","merged_CO1_14",""
"9","merged_CO1_17",""
"10","merged_CO1_19",""
"11","merged_CO1_20",""
"12","merged_CO1_21",""
"13","merged_CO1_23",""
"14","merged_CO1_27","Eukaryota;;Phaeophyceae;Ectocarpales;Ectocarpaceae;Ectocarpus;Ectocarpus sp. 5 AP-2014"
"15","merged_CO1_28",""
"16","merged_CO1_30",""
"17","merged_CO1_31",""
"18","merged_CO1_34","Eukaryota;NA;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora castaneae"
"19","merged_CO1_35",""
"20","merged_CO1_36","Eukaryota;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon primus"
"21","merged_CO1_40",""
"22","merged_CO1_45",""
"23","merged_CO1_46",""
"24","merged_CO1_47","Eukaryota;NA;Haptophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi"
"25","merged_CO1_48",""
"26","merged_CO1_51",""
"27","merged_CO1_53",""
"28","merged_CO1_54",""
"29","merged_CO1_57","Eukaryota;;;;;;"
"30","merged_CO1_59","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema grevillei"
"31","merged_CO1_62",""
"32","merged_CO1_63",""
"33","merged_CO1_68","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"34","merged_CO1_71",""
"35","merged_CO1_93",""
"36","merged_CO1_95","Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Peronospora;"
"37","merged_CO1_96",""
"38","merged_CO1_97","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Lovenella;Lovenella assimilis"
"39","merged_CO1_98",""
"40","merged_CO1_102","Eukaryota;NA;Haptophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi"
"41","merged_CO1_106",""
"42","merged_CO1_107",""
"43","merged_CO1_108",""
"44","merged_CO1_115",""
"45","merged_CO1_117","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Sapphirinidae;Copilia;Copilia mirabilis"
"46","merged_CO1_121","Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia sabit"
"47","merged_CO1_129",""
"48","merged_CO1_131","Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;"
"49","merged_CO1_134",""
"50","merged_CO1_150","Eukaryota;;Oomycetes;;;;"
"51","merged_CO1_155","Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Acanthocyclops;Acanthocyclops vernalis"
"52","merged_CO1_163",""
"53","merged_CO1_170",""
"54","merged_CO1_172","Eukaryota;;Oomycetes;;;;"
"55","merged_CO1_183","Eukaryota;;Phaeophyceae;;;;"
"56","merged_CO1_185",""
"57","merged_CO1_196",""
"58","merged_CO1_200",""
