sum.taxonomy	bio_12S_AG.1.S1.L001	bio_12S_AG.2.S2.L001	bio_12S_AG.3.S3.L001	bio_12S_AP.1.S4.L001	bio_12S_AP.2.S5.L001	bio_12S_AP.3.S6.L001	bio_12S_BA.1.S7.L001	bio_12S_BA.2.S8.L001	bio_12S_BA.3.S9.L001	bio_12S_BLANK.DR.S10.L001	bio_12S_BLANK.LS.S11.L001	bio_12S_BLANK.RA.S12.L001	bio_12S_BLANK.SB.S13.L001	bio_12S_BM.1.S14.L001	bio_12S_BM.1.star.S122.L001	bio_12S_BM.2.S15.L001	bio_12S_BM.3.S16.L001	bio_12S_BTM01.1.S17.L001	bio_12S_BTM01.2.S18.L001	bio_12S_BTM01.3.S19.L001	bio_12S_BTM01.4.S20.L001	bio_12S_BTM02.1.S21.L001	bio_12S_BTM02.2.S22.L001	bio_12S_BTM02.3.S23.L001	bio_12S_BTM03.1.S24.L001	bio_12S_BTM03.2.S25.L001	bio_12S_BTM03.3.S26.L001	bio_12S_CC.1.S27.L001	bio_12S_CC.2.S28.L001	bio_12S_CC.3.S29.L001	bio_12S_CD.1.S30.L001	bio_12S_CD.2.S31.L001	bio_12S_CD.3.S32.L001	bio_12S_CK.1.S33.L001	bio_12S_CK.2.S34.L001	bio_12S_CK.3.S35.L001	bio_12S_INDO.0132.neg.S125.L001	bio_12S_INDO.3364.neg.S126.L001	bio_12S_INDO.6596.neg.S127.L001	bio_12S_INDO.97123.neg.S123.L001	bio_12S_INDO.pos.ctrl.S124.L001	bio_12S_KL.1.S36.L001	bio_12S_KL.2.S37.L001	bio_12S_KL.3.S38.L001	bio_12S_KPP.1.S39.L001	bio_12S_KPP.2.S40.L001	bio_12S_KPP.3.S41.L001	bio_12S_KS.S01.1.S42.L001	bio_12S_KS.S01.2.S43.L001	bio_12S_KS.S01.3.S44.L001	bio_12S_KS.S02.1.S45.L001	bio_12S_KS.S02.2.S46.L001	bio_12S_KS.S02.3.S47.L001	bio_12S_KS.S03.2.S48.L001	bio_12S_KS.S03.3.S49.L001	bio_12S_MG.1.S50.L001	bio_12S_MG.2.S51.L001	bio_12S_MG.3.S52.L001	bio_12S_PL.1.S53.L001	bio_12S_PL.2.S54.L001	bio_12S_PL.3.S55.L001	bio_12S_PLK.1.S56.L001	bio_12S_PLK.2.S57.L001	bio_12S_PLK.3.S58.L001	bio_12S_PP.1.S59.L001	bio_12S_PP.2.S60.L001	bio_12S_PP.3.S61.L001	bio_12S_PPG.1.S62.L001	bio_12S_PPG.2.S63.L001	bio_12S_PPG.3.S64.L001	bio_12S_SB.01.1.S65.L001	bio_12S_SB.01.2.S66.L001	bio_12S_SB.01.3.S67.L001	bio_12S_SB.02.1.S68.L001	bio_12S_SB.02.2.S69.L001	bio_12S_SB.02.3.S70.L001	bio_12S_SB.03.1.S71.L001	bio_12S_SB.03.2.S72.L001	bio_12S_SB.03.3.S73.L001	bio_12S_SB.04.1.S74.L001	bio_12S_SB.04.2.S75.L001	bio_12S_SB.04.3.S76.L001	bio_12S_SB.05.1.S77.L001	bio_12S_SB.05.2.S78.L001	bio_12S_SB.05.3.S79.L001	bio_12S_SL.1.S80.L001	bio_12S_SL.2.S81.L001	bio_12S_SL.3.S82.L001	bio_12S_SP.1.S83.L001	bio_12S_SP.1.star.S121.L001	bio_12S_SP.2.S84.L001	bio_12S_SP.3.S85.L001	bio_12S_SR.1.S86.L001	bio_12S_SR.2.S87.L001	bio_12S_SR.3.S88.L001	bio_12S_SW.1.S89.L001	bio_12S_SW.2.S90.L001	bio_12S_SW.3.S91.L001	bio_12S_TK.1.S92.L001	bio_12S_TK.2.S93.L001	bio_12S_TK.3.S94.L001	bio_12S_TKS.1.S95.L001	bio_12S_TKS.2.S96.L001	bio_12S_TKS.3.S97.L001	bio_12S_TL.1.S98.L001	bio_12S_TL.2.S99.L001	bio_12S_TL.3.S100.L001	bio_12S_TTE.1.1.S101.L001	bio_12S_TTE.1.2.S102.L001	bio_12S_TTE.1.3.S103.L001	bio_12S_TTE.2.1.S104.L001	bio_12S_TTE.2.2.S105.L001	bio_12S_TTE.2.3.S106.L001	bio_12S_TTE.3.1.S107.L001	bio_12S_TTE.3.2.S108.L001	bio_12S_TTE.3.3.S109.L001	bio_12S_WKTB.01.1.S110.L001	bio_12S_WKTB.01.2.S111.L001	bio_12S_WKTB.2.1.S112.L001	bio_12S_WKTB.2.2.S113.L001	bio_12S_WKTB.2.3.S114.L001	bio_12S_WKTB.3.1.S115.L001	bio_12S_WKTB.3.2.S116.L001	bio_12S_WKTB.3.3.S117.L001	bio_12S_WM.1.S118.L001	bio_12S_WM.2.S119.L001	bio_12S_WM.3.S120.L001
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;	0	0	0	1	0	0	0	2	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	657	0	0	0	0	0	0	0	0	0	8	0	15	0	0	2	0	0	1	8	0	5	0	0	0	0	0	5432	0	0	0	0	0	590	1502	1	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	5	0	6	0	1	6	0	0	0	5	0	1	31	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus bariene	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	1723	0	0	0	892	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus leucosternon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1279	2860	0	0	905	2679	0	24157	0	0	0	1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus lineatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2469	3461	7956	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	1747	1002	2184	0	545	0	0	0	0	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	2958	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus maculiceps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	1696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus mata	0	0	0	478	0	0	0	0	0	0	0	0	0	4242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4021	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5986	0	4760	0	0	451	0	0	0	1980	0	1682	0	0	0	0	0	10277	0	0	0	0	0	0	0	0	0	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2707	10	0	0	0	0	0	0	0	3380	0	0	0	0	0	0	0	0	0	4934	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nigricauda	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1497	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	4984	0	0	0	0	1	384	1421	0	0	0	0	801	0	0	0	0	0	2464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	0	0	0	0	0	0	1	11444	0	0	0	0	0	0	0	0	219	0	0	1	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nigrofuscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus pyroferus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	923	0	2131	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3206	722	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1689	0	0	0	195	0	0	0	1
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus thompsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	450	0	0	0	0	0	0	0	0	0	0	3503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4746	0	0
