Seq_number	New_name	Site	Bio_rep	INDO_REGION	Lat_dec	Long_dec	Sample_Control	Control_Type	Site_Viz
AP.1.S4.L001	AP_1	AER_PERANG	A	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
AP.2.S5.L001	AP_2	AER_PERANG	B	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
AP.3.S6.L001	AP_3	AER_PERANG	C	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
POOL.ELAS.0132.4.S57.L001	AP_1	AER_PERANG	A	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
POOL.ELAS.0132.5.S58.L001	AP_2	AER_PERANG	B	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
POOL.ELAS.0132.6.S59.L001	AP_3	AER_PERANG	C	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
bio_12S_AP.1.S4.L001	AP_1	AER_PERANG	A	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
bio_12S_AP.2.S5.L001	AP_2	AER_PERANG	B	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
bio_12S_AP.3.S6.L001	AP_3	AER_PERANG	C	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
AG.1.S1.L001	AG_1	Anitas_Garden	A	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
AG.2.S2.L001	AG_2	Anitas_Garden	B	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
AG.3.S3.L001	AG_3	Anitas_Garden	C	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
POOL.ELAS.0132.1.S54.L001	AG_1	Anitas_Garden	A	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
POOL.ELAS.0132.2.S55.L001	AG_2	Anitas_Garden	B	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
POOL.ELAS.0132.3.S56.L001	AG_3	Anitas_Garden	C	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
bio_12S_AG.1.S1.L001	AG_1	Anitas_Garden	A	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
bio_12S_AG.2.S2.L001	AG_2	Anitas_Garden	B	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
bio_12S_AG.3.S3.L001	AG_3	Anitas_Garden	C	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
BA.1.S7.L001	BA_1	BATU_ANGUS	A	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
BA.2.S8.L001	BA_2	BATU_ANGUS	B	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
BA.3.S9.L001	BA_3	BATU_ANGUS	C	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
POOL.ELAS.0132.7.S60.L001	BA_1	BATU_ANGUS	A	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
POOL.ELAS.0132.8.S61.L001	BA_2	BATU_ANGUS	B	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
POOL.ELAS.0132.9.S62.L001	BA_3	BATU_ANGUS	C	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
bio_12S_BA.1.S7.L001	BA_1	BATU_ANGUS	A	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
bio_12S_BA.2.S8.L001	BA_2	BATU_ANGUS	B	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
bio_12S_BA.3.S9.L001	BA_3	BATU_ANGUS	C	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
BM.1.S14.L001	BM_1	BATU_MERAH	A	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
BM.1.star.S123.L001	BM_1_star	BATU_MERAH	D	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
BM.2.S15.L001	BM_2	BATU_MERAH	B	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
BM.3.S16.L001	BM_3	BATU_MERAH	C	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
POOL.ELAS.0132.14.S67.L001	BM_1	BATU_MERAH	A	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
POOL.ELAS.0132.15.S68.L001	BM_2	BATU_MERAH	B	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
POOL.ELAS.0132.16.S69.L001	BM_3	BATU_MERAH	C	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.1.S14.L001	BM_1	BATU_MERAH	A	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.1.star.S122.L001	BM_1_star	BATU_MERAH	D	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.2.S15.L001	BM_2	BATU_MERAH	B	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.3.S16.L001	BM_3	BATU_MERAH	C	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
SB.01.1.S66.L001	SB_01_1	BENTENG	A	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
SB.01.2.S67.L001	SB_01_2	BENTENG	B	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
SB.01.3.S68.L001	SB_01_3	BENTENG	C	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
POOL.ELAS.6596.2.S107.L001	SB_01_1	BENTENG	A	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
POOL.ELAS.6596.3.S108.L001	SB_01_2	BENTENG	B	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
POOL.ELAS.6596.4.S109.L001	SB_01_3	BENTENG	C	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_SB.01.1.S65.L001	SB_01_1	BENTENG	A	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_SB.01.2.S66.L001	SB_01_2	BENTENG	B	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_SB.01.3.S67.L001	SB_01_3	BENTENG	C	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_CD.1.S30.L001	CD_1	CALIFORDIA_DREAMING	A	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
bio_12S_CD.2.S31.L001	CD_2	CALIFORDIA_DREAMING	B	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
bio_12S_CD.3.S32.L001	CD_3	CALIFORDIA_DREAMING	C	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CD.1.S30.L001	CD_1	CALIFORDIA_DREAMING	A	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CD.2.S31.L001	CD_2	CALIFORDIA_DREAMING	B	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CD.3.S32.L001	CD_3	CALIFORDIA_DREAMING	C	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
